,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.23,0.55,0.43,0.52,0.45,0.34,0.98,0.88,2.02,0.9,0.99,0.94,1.36,0.97,0.49,0.84
f_1,0.93,2.26,0.46,0.44,0.41,0.26,0.81,0.68,0.91,0.77,0.36,0.83,1.09,0.59,0.59,1.1
d_1,0.53,0.5,2.4,0.34,0.42,0.39,0.8,0.94,0.5,1.99,1.11,1.11,1.38,0.78,0.91,1.15
c_1,0.44,0.56,0.46,2.5,0.79,0.28,0.8,0.65,0.95,0.32,0.91,0.66,1.32,0.88,0.91,1.15
b_1,0.47,0.54,0.41,0.48,2.58,0.68,1.0,0.87,0.99,1.1,0.98,0.42,1.13,0.74,0.73,1.12
a_1,0.43,0.58,0.49,0.56,0.43,3.18,1.01,0.58,0.91,0.97,0.86,1.0,1.04,0.37,0.66,1.2
h_1,0.59,0.79,0.63,0.56,0.48,0.39,2.96,1.42,1.1,1.11,1.22,1.04,0.77,0.93,1.15,1.76
g_1,0.55,0.54,0.98,0.46,0.44,0.42,1.08,3.21,1.01,1.12,2.0,1.17,1.41,1.17,1.34,0.7
d_0,0.52,0.57,0.38,1.11,0.57,0.44,1.12,0.88,2.37,0.98,1.2,1.16,1.4,1.1,1.04,1.44
c_0,0.68,0.62,0.65,0.28,0.44,0.43,1.1,0.97,1.26,2.65,1.46,2.41,1.52,1.18,1.04,1.75
f_0,0.5,0.34,0.72,0.69,0.53,0.46,1.3,1.07,1.23,1.3,2.76,1.47,1.58,1.31,2.17,1.72
b_0,0.69,0.6,0.73,0.6,0.31,0.33,0.99,0.99,1.21,0.95,1.33,2.83,1.87,2.3,1.26,1.72
h_0,0.57,0.9,0.62,0.63,0.5,0.37,0.58,1.27,1.35,1.02,1.09,1.05,0.95,1.02,1.04,1.84
a_0,0.55,0.63,0.74,0.58,0.49,0.29,1.26,1.01,1.26,1.07,1.19,1.11,1.92,2.92,1.29,1.42
e_0,0.35,0.76,0.64,0.6,0.57,0.4,1.29,0.92,1.24,1.47,1.21,1.34,1.56,1.31,2.98,1.61
g_0,0.55,0.51,1.08,0.67,0.48,0.35,1.14,0.62,1.02,1.23,1.36,1.21,1.43,1.1,0.95,0.82
