,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.48,1.43,1.75,1.79,3.42,17.51,34.73,30.83,47.82,48.8,,64.37,116.97,121.57,111.29
e_1,0.67,1.0,1.19,1.16,1.49,3.59,21.29,42.02,25.74,25.49,47.84,56.95,80.71,73.18,,149.98
d_1,0.7,0.84,1.0,0.83,1.37,1.92,15.74,,33.19,15.82,26.32,39.88,55.27,66.81,81.87,80.71
c_1,0.57,0.86,1.21,1.0,1.3,2.49,10.79,15.5,,24.68,29.19,45.87,59.14,75.18,100.84,87.06
b_1,0.56,0.67,0.73,0.77,1.0,3.13,14.46,23.15,21.3,18.73,,34.72,46.33,45.91,59.01,98.03
a_1,0.29,0.28,0.52,0.4,0.32,1.0,5.62,9.01,8.37,11.23,,19.13,19.39,,38.1,27.62
h_1,0.06,0.05,0.06,0.09,0.07,0.18,1.0,1.3,1.73,1.96,1.75,2.45,,3.78,4.52,7.07
d_0,0.03,0.02,,0.06,0.04,0.11,0.77,1.0,1.25,1.11,1.11,1.88,2.66,2.77,3.76,3.8
c_0,0.03,0.04,0.03,,0.05,0.12,0.58,0.8,1.0,1.06,1.64,1.82,2.41,2.66,3.09,3.65
g_1,0.02,0.04,0.06,0.04,0.05,0.09,0.51,0.9,0.94,1.0,1.45,1.95,1.72,2.25,2.85,
b_0,0.02,0.02,0.04,0.03,,,0.57,0.9,0.61,0.69,1.0,1.4,1.78,2.99,2.69,2.43
f_0,,0.02,0.03,0.02,0.03,0.05,0.41,0.53,0.55,0.51,0.71,1.0,1.3,,3.44,1.74
h_0,0.02,0.01,0.02,0.02,0.02,0.05,,0.38,0.42,0.58,0.56,0.77,,0.87,1.91,1.85
a_0,0.01,0.01,0.01,0.01,0.02,,0.26,0.36,0.38,0.44,0.33,,1.15,1.0,,
e_0,0.01,,0.01,0.01,0.02,0.03,0.22,0.27,0.32,0.35,0.37,0.29,0.52,,1.0,0.92
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.14,0.26,0.27,,0.41,0.58,0.54,,1.09,
