,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,1.11,1.95,1.21,1.21,0.8,2.28,2.63,2.25,2.33,2.82,1.59,2.63,2.39,1.69,3.08
d_1,1.42,2.51,1.15,1.02,1.15,1.22,2.5,1.82,2.3,4.45,2.81,2.78,3.54,3.28,3.1,3.0
e_1,1.09,1.2,2.49,1.5,1.15,1.26,2.32,4.33,2.38,2.45,2.94,3.22,3.5,2.66,2.38,3.37
c_1,1.22,1.31,1.05,2.6,1.93,1.32,1.92,2.26,2.25,1.53,2.3,2.51,3.31,2.68,2.34,3.26
b_1,1.09,1.41,1.21,0.98,2.74,2.01,2.55,2.47,2.19,2.6,1.68,2.55,3.63,2.05,2.8,3.64
a_1,1.57,1.32,1.2,1.14,1.14,3.2,2.37,2.67,2.59,2.62,2.58,2.78,3.61,2.14,3.39,2.96
h_1,1.62,1.28,1.35,1.65,1.13,1.3,4.1,2.61,3.36,2.63,3.04,2.99,2.8,2.63,2.98,4.73
d_0,1.34,1.09,1.0,2.36,1.38,1.32,2.82,3.93,2.36,2.19,3.39,3.28,3.35,3.05,3.23,3.51
g_1,1.31,1.83,1.17,1.48,1.29,1.14,2.47,2.71,4.49,2.85,3.04,4.16,3.46,3.5,3.3,3.47
c_0,1.49,1.07,1.47,1.27,1.09,1.43,2.84,3.55,2.69,4.15,5.63,3.31,3.98,3.11,3.22,4.08
b_0,1.39,1.39,1.3,1.65,1.01,1.21,2.83,2.94,2.81,2.3,4.36,3.08,4.46,5.48,3.84,3.94
f_0,1.27,1.37,1.07,1.55,1.45,1.49,2.52,2.98,2.51,3.22,2.91,4.52,3.59,3.06,5.78,3.37
h_0,1.91,1.31,1.26,1.41,1.17,1.14,2.32,3.06,3.41,2.56,2.58,3.02,2.94,2.82,3.01,4.64
a_0,1.32,1.34,1.28,1.42,1.56,1.07,3.29,3.21,2.38,3.46,2.62,3.62,4.61,5.06,3.15,4.39
e_0,1.83,1.31,0.92,1.59,1.27,1.36,2.96,2.94,3.02,3.2,3.14,2.46,4.38,3.96,5.29,3.4
g_0,1.31,1.78,1.1,1.41,1.26,1.52,2.12,2.71,1.93,2.93,3.01,4.17,2.91,3.11,3.71,3.02
