,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.78,0.89,1.22,0.92,0.88,0.73,0.94,0.68,0.57,0.56,0.58,0.59,0.71,0.58,0.63
f_1,1.29,1.0,0.91,0.92,0.98,0.7,0.56,0.61,0.66,0.55,0.61,0.47,0.49,0.42,0.53,0.51
d_1,1.1,1.1,1.0,0.91,0.94,0.75,0.71,0.77,0.55,0.83,0.65,0.66,0.59,0.65,0.51,0.44
c_1,0.82,1.08,1.09,1.0,1.4,0.88,0.72,0.41,0.73,0.54,0.64,0.67,0.6,0.48,0.51,0.51
b_1,1.11,1.02,1.07,0.72,1.0,1.41,0.73,0.7,0.74,0.66,0.76,0.73,0.8,0.57,0.63,0.61
a_1,1.15,1.42,1.31,1.13,0.72,1.0,0.95,0.87,0.74,1.0,0.88,0.72,0.75,0.76,0.69,0.83
h_1,1.38,1.82,1.4,1.41,1.34,1.02,1.0,0.98,1.17,0.86,0.87,0.73,0.89,0.77,0.75,0.84
d_0,1.08,1.56,1.35,2.35,1.45,1.23,1.07,1.0,1.03,1.0,0.9,0.99,0.85,0.75,0.85,0.92
g_1,1.48,1.46,1.86,1.29,1.37,1.35,0.85,0.96,1.0,0.96,0.94,1.14,0.77,0.96,0.89,0.76
c_0,1.83,1.69,1.21,1.82,1.48,0.99,1.2,0.98,0.99,1.0,1.35,0.95,0.89,0.93,0.91,0.83
b_0,1.77,1.54,1.51,1.61,1.27,1.2,1.11,1.15,1.1,0.77,1.0,0.98,0.97,0.99,1.28,0.9
f_0,1.69,2.0,1.56,1.6,1.39,1.3,1.35,1.01,0.9,1.12,1.06,1.0,0.98,1.2,0.81,0.76
h_0,1.68,2.04,1.72,1.71,1.25,1.39,1.09,1.11,1.29,1.11,1.11,1.03,1.0,1.03,0.82,1.16
e_0,1.47,2.51,1.56,2.01,1.61,1.31,1.32,1.19,1.04,1.2,1.07,0.88,1.0,1.0,0.9,0.98
a_0,1.78,1.93,1.84,2.03,1.61,1.42,1.31,1.16,1.18,1.06,0.77,1.24,1.18,1.21,1.0,1.01
g_0,1.74,1.85,2.23,1.92,1.73,1.31,1.19,1.03,1.37,1.18,1.19,1.42,0.87,1.04,1.01,1.0
