,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.95,0.94,0.75,0.6,0.42,0.4,0.51,0.36,0.33,0.36,0.27,0.31,0.29,0.34
e_1,0.75,1.0,0.78,1.17,1.07,0.77,0.53,0.61,0.45,0.44,0.44,0.42,0.34,0.37,0.29,0.3
d_1,1.06,1.27,1.0,0.87,0.78,0.78,0.5,0.46,0.34,0.61,0.4,0.41,0.3,0.31,0.36,0.25
c_1,1.07,0.86,1.14,1.0,1.32,0.72,0.53,0.33,0.46,0.39,0.38,0.37,0.35,0.33,0.35,0.34
b_1,1.33,0.94,1.28,0.75,1.0,1.1,0.56,0.48,0.49,0.47,0.51,0.36,0.37,0.4,0.37,0.38
a_1,1.68,1.31,1.26,1.39,0.92,1.0,0.81,0.71,0.58,0.59,0.55,0.78,0.84,0.45,0.41,0.42
h_1,2.39,1.86,1.94,1.95,1.76,1.31,1.0,0.78,1.02,0.78,0.73,0.68,0.61,0.74,0.56,0.69
d_0,2.53,1.56,2.1,3.22,2.13,1.28,1.28,1.0,1.03,0.88,0.86,0.95,0.78,0.8,0.76,0.86
g_1,2.05,2.29,2.95,1.94,2.03,1.65,0.95,0.98,1.0,0.83,0.99,1.01,0.73,0.71,0.79,0.76
c_0,2.77,2.29,1.65,2.52,2.15,1.62,1.26,1.1,1.24,1.0,0.96,1.34,0.99,0.87,0.83,0.8
f_0,2.94,2.21,2.52,2.62,2.03,1.71,1.43,1.15,1.0,0.96,1.0,1.09,0.85,0.9,1.31,0.57
b_0,2.87,2.37,2.37,2.9,2.87,1.22,1.39,1.02,1.05,0.75,0.97,1.0,1.37,0.95,0.85,0.79
a_0,3.58,2.83,3.16,2.93,3.12,1.45,1.64,1.26,1.33,1.04,1.14,0.75,1.0,1.07,0.96,0.88
h_0,3.27,2.93,3.17,3.1,2.46,2.0,1.32,1.25,1.4,1.15,1.07,1.12,0.94,1.0,0.97,1.09
e_0,3.53,3.14,2.72,2.94,2.83,2.57,1.7,1.14,1.32,1.15,0.8,1.2,1.02,1.01,1.0,0.84
g_0,2.94,3.21,3.91,3.02,2.48,2.52,1.47,1.23,1.32,1.23,1.79,1.25,1.05,0.92,1.14,1.0
