,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.44,2.17,2.19,2.07,1.82,1.81,0.54,0.35,0.95,0.37,0.38,0.36,0.28,0.44,0.18,0.34
f_1,1.83,0.43,1.92,2.24,2.12,2.01,0.4,0.66,0.42,0.37,0.34,0.78,0.18,0.33,0.36,0.34
e_1,2.6,1.11,0.43,2.27,2.03,2.17,0.69,0.68,0.45,0.47,0.49,0.48,0.31,0.39,0.29,0.83
c_1,2.84,2.19,1.98,0.4,2.1,2.14,0.62,0.55,0.25,0.82,0.43,0.5,0.39,0.37,0.31,0.46
b_1,2.23,2.81,2.14,1.26,0.39,2.45,0.72,0.7,0.5,0.53,1.4,0.48,0.36,0.71,0.4,0.48
a_1,2.23,3.85,2.82,3.22,1.49,0.33,1.02,1.15,0.7,0.58,0.71,0.53,0.51,1.65,0.53,0.64
h_1,3.63,3.19,3.16,3.11,3.96,3.06,0.34,0.99,0.63,0.56,0.68,0.66,0.96,0.61,0.54,0.69
g_1,3.29,3.76,4.1,3.51,4.24,3.05,0.71,0.31,0.83,0.79,0.77,0.76,0.41,0.78,0.81,0.7
d_0,5.83,3.97,1.98,3.95,4.23,3.73,1.0,1.19,0.39,0.78,0.87,0.65,0.63,0.64,0.63,0.78
c_0,1.81,4.28,3.57,10.74,4.54,3.81,1.22,1.16,1.08,0.42,0.83,0.77,0.58,0.68,0.51,0.74
b_0,3.11,4.23,3.82,6.09,6.99,3.27,1.1,1.06,0.76,0.4,0.37,0.75,0.5,0.66,0.51,0.65
f_0,3.37,8.78,4.34,3.84,3.76,3.98,1.36,0.79,0.95,0.86,1.01,0.36,0.67,0.8,0.38,0.97
h_0,3.9,4.42,4.8,4.0,4.9,4.12,2.01,1.29,0.96,0.87,0.8,0.93,1.19,0.77,0.65,0.75
a_0,4.28,5.1,4.82,4.59,4.97,9.03,1.22,1.86,1.21,0.81,0.61,0.7,0.64,0.34,0.66,0.99
g_0,4.64,5.01,5.23,6.06,4.67,4.42,1.11,3.75,1.12,1.15,0.96,0.95,0.54,1.0,1.0,1.18
e_0,4.19,8.36,10.89,5.53,5.13,4.46,1.28,1.3,0.85,0.8,1.31,0.41,0.88,1.03,0.63,0.32
