,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.36,1.82,2.17,2.21,1.67,0.81,0.73,0.61,0.86,0.61,0.75,0.52,0.55,0.99,0.48
f_1,2.24,1.06,1.94,2.23,1.78,1.47,0.61,0.61,0.57,0.85,0.61,0.81,0.36,0.44,0.51,0.57
d_1,2.82,2.42,1.05,2.08,2.11,1.8,0.76,0.86,0.68,0.51,0.61,0.58,0.51,0.56,0.48,0.33
c_1,2.02,2.28,3.08,1.06,2.45,1.97,0.94,0.45,0.97,0.83,0.68,0.6,0.51,0.53,0.62,0.51
b_1,2.49,3.23,2.59,1.53,1.07,3.06,1.06,0.83,1.01,1.19,1.31,0.85,0.61,0.83,0.61,0.52
a_1,3.47,3.74,3.26,3.36,1.74,1.07,1.51,1.1,0.85,1.04,0.96,0.87,0.74,1.6,0.83,0.86
h_1,5.86,5.59,5.28,5.72,5.11,4.23,1.31,1.76,1.52,2.08,1.63,1.56,1.37,1.22,1.07,1.28
d_0,4.23,6.21,9.68,6.68,6.43,4.86,2.6,1.52,1.98,2.53,1.82,1.92,1.47,1.71,1.72,1.73
c_0,7.29,7.14,4.1,10.69,5.78,6.4,2.51,2.45,1.48,2.33,2.08,1.74,1.37,1.8,1.6,1.32
g_1,6.09,6.9,7.24,7.28,5.2,7.45,2.0,1.99,1.84,1.31,1.92,1.87,1.11,1.46,1.57,1.58
b_0,6.51,7.26,6.44,7.88,7.59,5.97,2.6,2.24,1.4,2.63,1.49,1.96,1.6,2.18,1.6,1.53
f_0,6.91,10.86,7.19,7.74,6.5,6.74,2.69,2.19,2.32,1.84,1.9,1.46,1.75,1.54,1.95,1.08
h_0,8.58,11.38,8.8,9.69,8.49,7.57,4.33,2.73,2.88,3.82,2.54,2.3,2.68,2.18,2.28,2.03
a_0,9.35,11.22,9.84,11.34,11.35,11.26,3.57,3.12,2.75,4.76,1.75,3.16,2.47,1.59,2.27,1.8
e_0,12.01,15.2,10.45,9.5,8.52,8.11,4.96,3.33,3.23,3.08,3.23,1.73,2.29,2.72,1.58,2.04
g_0,11.36,10.28,10.87,10.22,10.52,8.34,3.37,3.14,3.22,4.82,3.05,3.28,2.02,2.63,2.77,2.81
