,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.45,1.06,0.54,0.62,0.57,0.42,1.99,3.0,2.66,2.23,3.24,0.56,4.39,3.09,2.74,3.62
e_1,0.67,5.8,0.53,0.55,0.65,0.69,2.05,5.01,2.52,1.76,3.58,2.66,5.18,2.56,1.01,4.41
d_1,0.64,0.64,6.72,0.48,0.62,0.46,1.81,0.78,5.6,1.96,3.09,3.84,4.66,3.61,2.82,4.81
c_1,0.59,0.56,0.65,6.72,1.1,0.54,1.82,2.5,0.48,2.29,2.41,2.79,3.88,3.26,3.32,4.05
b_1,0.52,0.61,0.45,0.66,7.12,1.06,2.75,3.17,2.4,1.99,0.82,3.41,4.79,1.75,2.51,4.64
a_1,0.57,0.62,0.79,0.61,0.47,10.68,2.25,2.97,2.58,2.38,2.27,3.45,4.53,,4.01,3.78
h_1,1.46,0.73,0.97,1.22,0.85,1.13,15.34,4.02,4.96,4.64,4.17,4.75,2.21,6.85,5.57,10.17
d_0,1.14,0.91,0.4,2.04,1.0,1.01,4.8,13.38,4.41,3.82,5.53,4.84,8.21,5.61,5.08,5.96
c_0,1.32,1.13,0.99,0.51,0.79,1.15,4.15,4.25,14.34,4.03,10.86,6.6,7.38,7.06,6.5,8.06
g_1,0.82,0.98,1.96,1.04,0.85,0.77,3.05,4.16,4.2,19.69,4.84,8.71,6.57,3.64,4.96,2.11
b_0,1.36,0.84,1.51,1.34,0.23,0.99,4.52,5.71,5.52,3.8,15.13,3.92,7.43,10.71,5.67,6.44
f_0,0.47,0.73,1.37,1.16,1.16,1.0,5.46,5.28,7.27,4.74,5.12,19.11,7.43,5.75,11.79,9.54
h_0,1.67,0.84,1.18,0.99,0.97,1.25,0.94,4.64,4.41,4.75,5.02,5.07,2.04,3.54,5.37,8.67
a_0,1.19,1.05,1.26,1.38,0.91,,5.07,5.61,6.4,4.03,6.43,4.5,8.2,21.66,5.05,4.72
e_0,1.15,0.43,1.29,1.22,1.12,1.27,6.42,6.03,6.06,3.97,6.04,4.17,6.51,5.6,24.29,11.07
g_0,0.99,0.61,1.81,1.02,0.75,1.35,4.39,3.51,5.77,,7.19,8.39,7.04,4.54,6.27,4.2
