,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.55,1.03,1.01,0.91,1.49,0.86,1.16,1.07,0.99,0.77,1.18,0.76,1.28,1.0,0.91,1.14
f_1,1.04,1.55,1.01,1.42,0.93,0.71,1.06,1.05,1.23,1.09,0.8,1.11,1.06,0.68,1.02,1.06
d_1,0.96,1.12,1.57,1.01,0.93,0.76,1.25,1.03,1.03,1.77,1.18,1.44,1.29,1.12,1.04,1.11
e_1,1.23,0.93,0.94,1.58,1.01,0.81,1.16,1.2,1.86,1.04,1.21,1.14,1.28,0.91,1.04,1.32
b_1,0.94,1.05,1.03,0.97,1.6,1.44,1.24,1.09,1.12,1.18,1.11,1.02,1.34,1.01,0.87,1.17
a_1,1.21,1.29,1.05,1.0,0.88,1.77,1.29,1.35,1.33,1.38,1.34,1.36,1.4,1.29,1.17,1.31
h_1,1.29,1.51,1.29,1.21,1.11,0.99,1.85,1.53,1.35,1.37,1.42,1.43,1.32,1.09,1.26,1.71
g_1,1.26,1.27,1.73,1.11,1.19,0.95,1.56,1.92,1.36,1.56,1.97,1.41,1.35,1.4,1.2,1.4
d_0,1.94,1.32,1.1,1.12,1.42,1.02,1.49,1.39,1.83,1.06,1.55,1.24,1.45,1.22,1.33,1.54
c_0,1.45,1.43,1.28,1.33,1.01,0.95,1.68,1.45,1.69,1.88,1.49,2.36,1.69,1.46,1.61,1.62
f_0,1.37,1.33,1.5,1.12,1.31,1.15,1.65,1.39,1.48,1.58,1.88,1.59,1.67,2.25,1.46,1.52
b_0,1.53,1.51,1.29,1.36,1.05,0.88,1.65,1.42,1.65,1.37,1.32,1.86,1.76,1.33,2.29,1.62
h_0,1.42,1.65,1.44,1.34,1.21,1.09,1.44,1.83,1.58,1.5,1.64,1.53,1.48,1.39,1.51,1.85
e_0,1.48,1.79,1.41,1.17,1.37,1.24,1.83,1.57,1.42,1.38,1.37,1.51,1.84,1.96,1.43,1.66
a_0,1.43,1.45,1.56,1.37,1.41,0.86,1.76,1.67,1.56,1.45,1.35,1.31,1.68,1.41,1.92,1.73
g_0,1.5,1.31,1.81,1.19,1.35,0.9,1.44,1.42,1.5,1.71,2.02,1.64,1.69,1.58,1.49,1.62
