,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.92,0.67,0.32,0.35,0.33,0.25,0.36,0.36,0.43,0.28,0.38,0.21,0.23,0.31,0.15,0.24
e_1,0.43,0.92,0.33,0.45,0.35,0.21,0.37,0.34,0.63,0.3,0.36,0.29,0.25,0.34,0.17,0.29
d_1,0.46,0.38,0.92,0.27,0.31,0.23,0.38,0.65,0.25,0.31,0.44,0.33,0.31,0.37,0.25,0.34
c_1,0.39,0.36,0.34,0.91,0.62,0.26,0.32,0.27,0.35,0.27,0.24,0.32,0.24,0.34,0.23,0.24
b_1,0.41,0.37,0.36,0.38,0.9,0.47,0.33,0.32,0.32,0.3,0.26,0.31,0.19,0.36,0.25,0.3
a_1,0.49,0.39,0.39,0.37,0.33,0.9,0.39,0.39,0.36,0.32,0.39,0.32,0.23,0.37,0.25,0.3
h_1,0.59,0.45,0.41,0.37,0.31,0.25,0.67,0.39,0.39,0.4,0.41,0.34,0.3,0.3,0.25,0.38
c_0,0.48,0.43,0.47,0.33,0.29,0.26,0.42,0.59,0.36,0.36,0.65,0.32,0.39,0.36,0.26,0.36
d_0,0.43,0.43,0.3,0.69,0.4,0.23,0.36,0.29,0.57,0.32,0.35,0.32,0.28,0.35,0.22,0.3
g_1,0.42,0.35,0.59,0.38,0.36,0.27,0.4,0.44,0.32,0.65,0.38,0.51,0.27,0.34,0.27,0.29
b_0,0.46,0.46,0.45,0.42,0.27,0.24,0.41,0.45,0.43,0.36,0.57,0.35,0.51,0.37,0.23,0.32
f_0,0.43,0.35,0.44,0.43,0.41,0.29,0.4,0.4,0.39,0.32,0.35,0.57,0.27,0.38,0.54,0.35
a_0,0.51,0.42,0.45,0.38,0.31,0.23,0.43,0.44,0.41,0.31,0.44,0.32,0.5,0.41,0.25,0.37
h_0,0.55,0.44,0.45,0.41,0.34,0.28,0.27,0.41,0.4,0.39,0.41,0.31,0.27,0.28,0.27,0.38
e_0,0.5,0.3,0.4,0.42,0.42,0.32,0.4,0.41,0.38,0.39,0.41,0.34,0.28,0.45,0.49,0.35
g_0,0.43,0.38,0.61,0.38,0.33,0.26,0.41,0.45,0.36,0.25,0.37,0.43,0.27,0.36,0.32,0.26
