,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,1.21,1.28,1.61,3.46,17.19,32.32,33.43,32.87,40.08,53.91,64.37,86.81,90.67,146.3
e_1,0.79,1.0,1.19,1.55,1.72,3.86,19.2,34.56,41.24,35.78,36.1,63.06,72.79,95.32,113.01,143.48
d_1,0.83,0.82,1.0,1.0,1.27,2.79,14.79,20.25,25.76,34.25,31.71,42.88,56.66,77.83,93.13,96.32
c_1,0.76,0.65,1.04,1.0,1.61,2.8,15.07,25.51,18.9,23.12,22.59,39.24,56.24,68.12,86.64,91.11
b_1,0.6,0.58,0.8,0.63,1.0,3.36,11.7,18.27,18.01,23.95,23.36,35.22,46.25,47.69,64.58,82.69
a_1,0.28,0.25,0.35,0.35,0.31,1.0,5.59,8.88,8.34,9.56,10.41,14.14,20.24,24.64,27.5,36.92
h_1,0.06,0.05,0.07,0.07,0.08,0.19,1.0,1.85,1.58,1.72,1.99,2.9,3.63,4.35,5.52,7.84
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.55,1.0,0.91,1.06,1.12,1.98,2.05,2.86,3.81,4.28
d_0,0.03,0.03,0.04,0.05,0.06,0.12,0.63,1.06,1.0,0.91,1.1,1.87,2.39,2.63,3.66,4.19
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.58,0.92,1.09,1.0,1.43,1.69,2.26,3.2,3.16,4.3
b_0,0.03,0.03,0.03,0.04,0.04,0.1,0.53,0.89,0.99,0.73,1.0,1.39,1.95,3.23,2.77,3.55
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.35,0.53,0.52,0.58,0.71,1.0,1.39,1.78,2.73,2.1
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.28,0.5,0.41,0.44,0.52,0.74,1.0,1.2,1.39,2.05
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.37,0.38,0.33,0.32,0.58,0.79,1.01,1.09,1.52
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.17,0.28,0.28,0.31,0.37,0.38,0.7,0.85,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.24,0.23,0.23,0.29,0.48,0.49,0.63,0.85,1.0
