,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,23.34,0.31,0.27,0.25,0.38,0.34,0.9,1.63,0.78,0.26,0.85,0.79,0.88,0.84,0.93,1.08
f_1,0.28,24.14,0.7,0.29,0.27,0.32,0.78,0.7,0.61,0.95,0.86,0.17,0.81,0.7,0.63,0.75
e_1,0.36,0.36,25.32,0.38,0.37,0.38,0.64,0.68,0.5,1.52,0.79,0.8,0.84,0.68,0.71,0.19
c_1,0.37,0.33,0.31,31.38,0.73,0.3,0.48,0.11,0.66,0.74,0.53,0.7,0.91,0.63,0.87,0.94
b_1,0.37,0.3,0.32,0.29,33.25,0.71,0.72,0.78,0.57,0.71,0.22,1.02,0.9,0.6,0.84,0.73
a_1,0.33,0.47,0.29,0.36,0.24,47.87,0.66,0.78,0.71,0.67,1.16,0.81,0.9,0.14,0.96,0.53
h_1,0.62,0.88,0.62,0.74,0.46,0.51,9.33,1.44,2.21,1.14,1.29,1.51,0.66,1.63,2.11,1.2
c_0,0.67,0.67,0.66,0.33,0.6,0.6,1.77,5.38,1.46,1.55,3.42,1.61,1.74,2.48,2.34,1.59
g_1,1.16,0.49,0.52,0.77,0.51,0.59,1.24,1.14,11.7,0.88,1.31,2.6,1.59,1.3,0.86,1.48
d_0,0.15,0.68,0.67,1.81,0.77,0.62,1.22,1.13,1.3,5.42,1.53,1.34,1.65,1.09,0.96,1.06
b_0,0.53,0.84,0.6,0.92,0.13,0.69,1.54,1.63,1.46,1.19,6.2,1.84,1.83,3.84,1.91,1.58
f_0,0.84,0.31,0.41,0.88,0.63,0.54,1.35,1.78,2.21,1.76,1.5,6.92,1.71,2.01,1.8,3.7
h_0,0.7,1.05,0.61,0.59,0.57,0.47,0.53,1.19,1.71,1.57,1.27,1.52,0.51,1.85,2.26,1.57
a_0,0.81,0.63,0.68,0.67,0.67,,2.02,1.61,1.27,1.56,1.47,1.69,2.3,8.67,2.27,1.98
g_0,1.11,0.52,0.47,0.64,0.57,0.52,1.2,1.17,0.94,1.25,1.29,2.78,1.49,1.61,0.69,1.67
e_0,0.67,0.91,0.2,0.65,0.73,0.7,1.67,1.57,2.04,1.89,1.72,1.59,1.63,2.21,1.37,8.76
