,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.42,1.19,1.0,1.6,1.15,1.23,2.44,2.53,4.3,2.41,3.08,3.02,3.73,2.64,2.37,3.59
f_1,1.89,2.47,1.06,1.11,1.19,1.05,2.14,2.21,2.86,2.84,2.56,1.5,2.76,2.87,1.85,3.06
d_1,1.22,1.45,2.54,1.0,1.26,1.19,2.3,2.1,1.93,4.13,2.94,2.49,3.74,2.73,3.1,2.98
c_1,0.95,1.21,1.46,2.54,2.07,1.06,2.49,2.28,2.11,1.41,1.95,2.6,3.01,2.65,2.47,3.35
b_1,1.2,1.17,1.33,0.99,2.72,2.29,2.22,2.37,2.64,2.9,2.16,2.92,3.13,2.26,2.47,3.3
a_1,1.23,1.33,1.28,1.51,0.89,3.25,2.84,2.49,2.61,2.29,2.7,3.14,3.47,1.8,2.69,3.1
h_1,1.24,1.69,1.43,1.35,1.44,1.12,4.25,3.35,2.71,2.71,2.99,2.78,2.58,2.9,3.06,4.04
g_1,1.09,1.26,1.95,1.33,1.29,1.25,2.07,4.39,2.39,3.2,2.55,4.68,3.33,2.91,3.97,3.39
d_0,1.18,1.31,1.01,2.4,1.2,1.25,2.77,2.72,3.89,2.28,3.4,3.09,3.86,3.11,3.34,4.04
c_0,1.5,1.4,1.28,1.34,1.04,1.27,2.96,2.54,3.39,4.2,4.69,3.25,4.08,3.6,3.75,4.4
b_0,1.32,1.44,1.51,1.65,0.69,0.93,2.93,2.88,2.93,2.72,4.39,3.38,4.05,5.66,3.1,4.68
f_0,1.26,1.22,1.66,1.48,1.29,1.06,2.68,2.4,2.9,2.7,3.12,4.4,3.86,3.16,6.25,3.86
h_0,1.25,1.92,1.22,1.34,1.25,1.32,2.4,3.45,2.53,2.87,2.9,2.98,3.04,3.65,3.21,4.48
a_0,1.44,1.35,1.39,1.51,1.54,1.15,2.93,2.82,3.05,2.62,2.43,3.21,3.43,4.98,3.01,3.88
e_0,0.98,1.69,1.34,1.71,1.28,1.39,2.99,2.22,3.1,2.96,3.87,2.59,3.44,3.2,5.17,4.12
g_0,1.28,1.24,1.92,1.38,1.14,1.47,2.5,2.28,2.54,2.9,2.96,4.03,3.86,3.05,3.29,2.28
