,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.75,0.64,0.5,0.82,0.61,0.44,0.89,0.89,1.8,0.87,1.14,1.11,1.02,0.47,1.05,1.1
f_1,1.08,2.77,0.58,0.55,0.48,0.55,0.78,0.84,0.84,0.87,0.36,0.94,0.95,0.71,0.78,0.82
d_1,0.55,0.69,3.05,0.52,0.56,0.63,0.86,0.86,0.35,1.79,0.89,1.13,1.07,0.96,0.98,0.81
c_1,0.52,0.68,0.57,3.16,1.12,0.61,0.89,0.77,0.86,0.28,0.85,0.72,1.02,0.88,0.99,0.88
b_1,0.56,0.58,0.58,0.57,3.73,1.14,0.96,0.91,0.82,0.86,1.04,0.31,0.86,1.2,0.89,0.91
a_1,0.62,0.58,0.78,0.59,0.62,4.67,0.97,0.9,0.76,0.96,0.91,0.8,0.99,0.89,0.92,0.3
h_1,0.61,1.09,0.79,0.76,0.58,0.58,3.08,1.52,1.17,1.09,1.06,1.15,0.62,1.39,1.35,1.04
g_1,0.74,0.67,1.12,0.65,0.53,0.81,1.09,3.67,0.91,1.05,1.67,1.23,0.88,1.02,0.63,1.18
d_0,0.78,0.86,0.37,1.54,0.78,0.72,0.91,0.97,2.21,0.75,1.26,0.99,1.15,1.0,1.22,1.14
c_0,0.82,0.77,0.98,0.36,0.59,0.76,1.06,1.19,1.09,2.26,1.35,2.2,1.11,1.42,1.26,1.48
f_0,0.66,0.49,0.82,1.0,0.82,0.66,1.28,1.01,1.31,1.1,2.78,1.31,1.07,2.73,1.39,1.2
b_0,0.71,0.71,1.04,0.79,0.39,0.53,1.15,1.18,1.13,1.21,1.32,2.92,1.35,1.48,1.35,3.08
h_0,0.73,0.91,0.88,0.81,0.67,0.8,0.66,1.48,1.11,1.04,1.05,1.17,0.76,1.0,1.63,1.17
e_0,0.31,0.91,0.92,0.94,0.73,0.81,1.25,1.25,0.93,1.21,1.36,1.05,1.31,3.66,1.08,1.07
g_0,0.64,0.59,1.33,0.85,0.67,0.68,1.24,0.66,1.02,1.12,1.92,1.11,1.17,1.69,0.92,1.17
a_0,0.62,0.85,1.0,0.76,0.72,0.35,1.23,1.02,1.15,0.83,1.36,1.21,1.32,1.11,1.37,3.88
