,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.19,1.2,1.02,1.02,0.96,0.42,0.34,0.47,0.42,0.55,0.38,0.29,0.34,0.35,0.24
f_1,1.05,0.65,1.16,1.14,0.96,1.0,0.4,0.51,0.39,0.38,0.44,0.39,0.27,0.36,0.33,0.32
e_1,1.08,0.73,0.65,1.28,1.07,0.93,0.54,0.57,0.44,0.41,0.48,0.49,0.37,0.4,0.59,0.37
c_1,1.37,1.19,0.89,0.63,1.34,0.95,0.52,0.54,0.44,0.36,0.25,0.37,0.32,0.4,0.36,0.3
b_1,1.2,1.33,1.15,0.71,0.62,1.49,0.6,0.55,0.54,0.52,0.38,0.41,0.38,0.41,0.4,0.33
a_1,1.39,1.32,1.45,1.34,0.75,0.58,0.67,0.62,0.5,0.62,0.6,0.49,0.46,0.68,0.51,0.4
h_1,1.76,1.81,1.66,1.69,1.69,1.45,0.55,0.85,0.63,0.58,0.58,0.65,0.51,0.59,0.61,0.53
g_1,1.92,2.12,1.72,1.81,1.86,1.57,0.65,0.53,0.69,0.64,0.63,0.69,0.45,0.61,0.58,0.59
c_0,1.24,2.22,1.93,2.45,1.79,1.76,0.86,0.72,0.57,0.85,0.8,0.73,0.59,0.76,0.66,0.58
b_0,1.62,2.09,2.08,2.47,2.16,1.44,0.87,0.91,0.47,0.56,0.79,0.66,0.59,0.72,0.66,0.56
d_0,2.11,1.88,1.28,2.42,2.64,1.67,1.07,1.08,0.71,0.64,0.57,0.75,0.58,0.69,0.84,0.61
f_0,2.04,2.68,2.0,2.04,2.01,2.01,0.93,0.67,0.72,0.76,0.71,0.55,0.59,0.66,0.93,0.42
h_0,2.11,2.59,2.05,2.38,2.04,1.68,1.31,0.96,0.73,0.74,0.8,0.75,0.73,0.7,0.66,0.71
a_0,2.25,2.34,2.33,2.34,2.23,2.04,0.98,1.05,0.71,0.55,0.86,0.89,0.7,0.54,0.69,0.78
e_0,2.12,3.03,2.54,2.46,2.3,1.9,0.99,0.86,0.8,0.8,0.75,0.45,0.59,0.8,0.52,0.62
g_0,2.42,2.67,2.4,2.51,2.15,2.16,0.85,1.23,0.84,0.91,0.88,0.92,0.57,0.74,0.72,0.79
