,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.82,0.92,1.08,0.93,0.69,0.48,0.43,0.55,0.39,0.44,0.42,0.36,0.35,0.37,0.33
f_1,1.22,1.0,0.88,0.92,0.81,0.68,0.42,0.44,0.43,0.41,0.37,0.39,0.31,0.26,0.32,0.3
d_1,1.1,1.11,1.0,0.98,0.81,0.71,0.5,0.37,0.45,0.54,0.42,0.44,0.36,0.34,0.28,0.31
c_1,0.91,1.1,1.05,1.0,1.23,0.86,0.52,0.46,0.34,0.39,0.39,0.35,0.38,0.33,0.33,0.33
b_1,1.08,1.23,1.22,0.81,1.0,1.23,0.65,0.59,0.45,0.55,0.46,0.41,0.43,0.42,0.37,0.31
a_1,1.45,1.47,1.41,1.13,0.82,1.0,0.69,0.63,0.57,0.59,0.54,0.59,0.5,0.41,0.44,0.4
h_1,2.13,2.39,2.02,1.89,1.5,1.45,1.0,1.03,0.86,0.85,0.76,0.77,0.76,0.67,0.67,0.61
g_1,2.33,2.24,2.62,2.14,1.7,1.62,1.01,1.0,0.99,0.98,1.17,0.93,0.67,0.77,0.78,0.74
d_0,1.89,2.36,2.23,2.95,2.3,1.73,1.17,0.99,1.0,0.77,0.95,0.89,0.8,0.86,0.81,0.79
c_0,2.46,2.45,1.93,2.67,1.8,1.65,1.21,1.04,1.27,1.0,1.0,1.24,0.85,0.78,0.7,0.95
f_0,2.23,2.77,2.41,2.61,2.21,1.84,1.29,0.86,1.07,0.98,1.0,1.03,0.89,1.15,0.7,0.77
b_0,2.47,2.6,2.28,2.93,2.4,1.73,1.25,1.11,1.18,0.82,1.0,1.0,0.94,0.9,0.79,1.15
h_0,2.77,3.09,2.81,2.75,2.36,1.98,1.36,1.5,1.21,1.17,1.11,1.07,1.0,0.87,1.04,0.86
e_0,2.79,3.94,2.88,2.95,2.31,2.43,1.53,1.32,1.17,1.24,0.9,1.12,1.09,1.0,0.82,0.91
g_0,2.8,3.16,3.5,2.96,2.71,2.25,1.49,1.25,1.23,1.37,1.48,1.21,0.95,1.13,1.0,1.01
a_0,3.02,3.16,3.23,3.26,3.2,2.58,1.61,1.36,1.34,1.05,1.31,0.89,1.13,1.11,1.03,1.0
