,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,12034.35,5931.52,7165.4,7108.81,14853.95,66547.46,7468334.66,16430807.82,37846141.28,19256455.4,45132783.06,79590929.03,193825135.59,462188030.21,300987815.35,330318373.62
e_1,4937.77,12336.21,6764.87,10591.28,14419.57,72915.08,8230751.3,16888677.15,22193458.31,38519109.78,39871215.46,82614166.37,179030895.3,417101067.59,322757106.5,295386503.81
f_1,4979.64,8542.61,14919.45,9234.56,15150.78,62733.95,6736884.52,14907328.52,18387728.72,23407432.58,30974978.05,54627250.46,165051033.96,335704080.12,287548345.43,259429869.62
c_1,5199.6,4939.53,6997.19,21566.03,27045.14,75833.87,6598748.03,16749280.63,12093227.51,20996356.46,22851266.47,64853411.69,185988355.0,375927985.32,254680016.58,372768129.94
b_1,5653.67,5162.12,7004.18,8682.01,41241.67,144232.31,6564961.93,15547715.54,18265451.25,22501783.52,24023223.6,70778880.0,170784318.75,365384556.11,181314199.46,366737178.07
a_1,5699.42,5687.02,6939.61,8932.05,15243.22,267796.46,7752236.0,17209005.06,24130890.76,25788603.41,41947887.55,79858000.37,203311083.92,336158791.75,230135576.05,335060733.6
h_1,6527.42,5408.98,8971.71,8262.31,16415.59,71856.62,13541124.97,24115465.75,24660052.87,22244005.55,40338261.54,87704264.35,153937269.15,519179882.75,351600268.84,413241571.44
g_1,8804.26,5891.27,7140.44,7859.6,15451.1,67015.53,7445484.02,35795903.21,23372852.31,18519262.3,38716748.73,103278531.41,179158984.54,338131920.28,328502158.43,405905922.24
c_0,6589.91,6603.88,8476.07,7342.23,12258.84,64393.94,8970427.63,17700877.06,35220712.57,23619680.8,67908399.89,86465010.16,211912815.17,464112138.19,447290348.29,412000605.76
d_0,4546.27,5580.31,7981.71,16198.44,15852.64,69979.47,7610102.59,17196849.29,14358627.25,35070365.23,32385124.09,76130453.85,192065549.86,437530802.75,322004420.91,415761337.12
b_0,6269.7,6047.68,8098.33,11119.24,12789.6,43874.04,8087209.16,18293729.4,22788531.0,26572140.9,61228548.21,75752531.03,224378274.88,478250007.94,640438453.23,404865053.1
f_0,7058.67,5390.45,6446.83,10344.07,14504.33,75504.16,7815700.12,20644473.63,24915460.56,26873291.83,41613215.12,130969239.55,216828605.87,475336631.75,341225607.88,694245840.02
h_0,6318.86,6292.19,9653.51,9532.22,14545.69,73612.26,5825725.5,21714253.98,22286733.43,23590088.95,37417469.54,67328611.13,145727120.24,568011210.87,259093096.34,402886999.03
g_0,8080.99,5385.92,7116.1,9052.03,14908.9,84497.73,7934605.85,14999844.61,24913777.19,22695503.54,41861960.1,120696616.42,175861088.84,392138510.67,315074430.18,439569981.81
a_0,6220.66,5917.98,7724.2,11426.28,17836.75,51460.94,8515453.2,17331349.78,21897359.39,22336432.78,35483188.43,86832637.14,225078765.72,493373797.34,627864801.24,364760716.69
e_0,6208.82,4794.53,8276.38,9909.42,16971.58,78138.03,8326723.0,19184485.12,21551944.04,21721180.3,41384011.37,78515176.19,234238948.05,441720564.19,326708719.25,749600990.05
