,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.09,3.13,3.14,2.55,2.73,2.64,0.78,0.59,0.52,0.94,0.62,0.53,0.39,0.5,0.26,0.56
f_1,2.9,1.1,2.86,3.44,3.13,2.68,0.66,0.62,0.96,0.66,0.56,0.85,0.34,0.57,0.51,0.5
e_1,3.64,1.84,1.11,3.4,3.54,3.08,0.89,0.76,1.06,0.68,0.69,0.89,0.48,0.65,0.57,0.94
c_1,4.3,4.29,2.92,1.11,4.49,3.0,0.92,1.09,1.03,0.44,0.71,0.67,0.5,0.73,0.54,0.66
b_1,4.12,4.98,3.76,2.25,1.12,4.15,1.53,1.0,1.25,0.79,1.39,0.84,0.63,0.97,0.66,0.84
a_1,6.07,5.89,5.93,6.2,2.65,1.14,1.86,1.23,1.85,1.25,1.43,1.26,1.0,1.93,1.01,1.05
h_1,9.71,11.12,10.93,14.45,11.14,10.48,1.64,2.24,2.99,2.6,2.14,2.29,2.05,1.82,1.68,1.95
c_0,8.06,16.22,16.4,20.7,13.09,14.04,4.03,1.93,3.73,3.82,3.28,2.95,2.31,2.82,1.98,2.66
g_1,12.42,16.29,14.84,15.44,13.97,12.34,2.8,2.61,1.69,3.21,2.69,2.31,1.67,2.69,2.0,2.29
d_0,19.83,13.88,8.32,14.17,16.14,15.76,4.48,3.19,5.26,2.04,3.55,3.03,2.33,3.73,2.81,2.91
b_0,12.8,17.24,15.8,22.8,19.68,14.25,4.98,1.9,4.72,3.61,1.99,3.65,2.44,3.33,2.45,3.03
f_0,16.4,25.49,15.94,19.72,15.67,16.42,5.01,3.65,3.58,4.08,3.43,1.97,2.79,3.95,1.55,3.6
h_0,19.43,20.51,19.24,20.84,21.4,19.78,7.98,4.24,5.55,4.62,4.17,4.2,3.81,3.7,3.08,3.46
a_0,20.37,25.13,22.96,30.08,26.43,31.26,6.82,3.83,6.03,6.05,2.6,4.84,3.51,2.2,3.47,4.96
g_0,22.28,28.09,24.78,27.53,24.29,20.84,6.31,4.95,8.07,5.73,4.81,4.84,2.75,4.29,3.82,5.1
e_0,23.38,34.64,33.44,22.45,26.69,23.63,7.55,5.9,5.42,7.0,4.26,2.78,3.94,4.69,3.16,2.41
