,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,93.98,64.15,74.68,117.26,160.28,508.68,9211.49,41063.06,24767.93,28391.52,52737.65,74731.18,90069.33,145804.05,131860.33,277307.26
f_1,78.57,107.8,78.93,96.44,120.67,402.64,7933.83,23591.19,22611.95,27299.78,40318.66,39907.43,97629.1,125917.75,108419.24,205196.87
d_1,54.15,62.36,130.18,74.36,119.82,413.04,9589.11,17472.02,19181.94,41127.5,46159.31,56706.09,98299.64,122640.68,152215.56,209462.83
c_1,44.43,53.63,74.76,144.46,202.66,420.57,7994.52,17290.65,17186.89,16547.6,28625.54,52021.77,78237.31,117517.32,125541.31,216839.81
b_1,37.62,53.25,65.31,64.45,206.16,619.94,6648.63,18254.09,16402.44,21486.49,25426.41,43399.97,59425.79,103165.47,129222.21,151294.11
a_1,28.67,39.18,42.08,52.07,66.13,552.81,5270.89,11033.98,11326.75,15469.32,25264.78,32430.14,37340.29,71934.39,75629.42,116101.91
h_1,14.74,21.22,19.82,22.24,35.13,98.73,3191.26,5478.18,6316.13,6378.47,10283.9,13360.63,23919.83,29877.39,37784.48,71754.5
d_0,8.28,12.1,12.55,28.97,28.95,89.86,1595.55,5835.26,4282.79,3964.51,8297.27,11211.96,19191.1,26302.08,27696.3,39605.96
g_1,9.02,10.84,20.7,18.63,26.08,77.31,1702.54,3839.72,6425.05,5689.58,8069.17,15539.79,20254.6,23006.34,33232.04,40801.88
c_0,10.05,13.01,13.99,17.65,19.41,76.01,1788.19,4809.06,4050.83,6754.01,13059.76,11899.22,21760.52,24912.36,27730.18,44891.85
b_0,8.27,11.41,12.08,16.88,20.42,55.53,1629.09,3799.97,3810.05,3993.13,9128.86,9573.05,26544.53,23062.98,24873.76,38488.69
f_0,6.13,8.69,12.82,14.3,22.94,63.4,1405.04,3514.06,2906.02,3898.83,6893.71,11588.64,14163.16,19607.24,36568.54,34846.72
a_0,7.35,7.96,9.52,11.77,18.36,53.25,1181.87,2904.57,2437.73,3113.0,4203.22,7674.87,17130.29,17071.13,19126.8,26816.49
h_0,6.24,9.08,10.44,10.52,15.69,46.22,869.59,2605.75,3172.46,3284.42,4776.69,6760.05,11102.22,14117.88,16389.35,34528.79
e_0,5.0,8.31,9.1,10.48,14.59,59.68,881.5,2281.97,2094.29,3129.73,5204.96,5581.16,10272.3,16590.05,22464.27,25525.75
g_0,4.65,5.94,10.77,8.49,15.44,40.93,806.39,2033.83,1784.07,2707.28,3936.2,7793.66,8741.3,12127.03,17088.5,19530.55
