,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.48,0.25,0.16,0.16,0.16,0.17,0.19,0.21,0.13,0.18,0.18,,0.22,0.19,0.21,0.14
e_1,0.15,1.5,0.13,0.18,0.14,0.1,0.19,0.2,0.15,0.34,0.18,0.22,0.24,0.17,0.21,
d_1,0.19,0.19,1.51,0.16,0.18,0.12,0.22,0.28,0.17,,0.22,0.16,0.18,0.15,0.2,0.19
c_1,0.19,0.15,0.21,1.53,0.22,0.13,0.24,,0.15,0.19,0.18,0.16,0.21,0.12,0.24,0.19
b_1,0.17,0.18,0.2,0.17,1.61,0.23,0.24,0.23,0.15,0.21,,0.16,0.24,0.19,0.17,0.13
a_1,0.16,0.2,0.21,0.2,0.13,1.78,0.22,0.25,,0.3,0.17,0.2,0.23,,0.17,
h_1,0.44,0.42,0.4,0.34,0.33,0.37,1.62,0.47,0.53,0.47,0.48,0.39,,0.29,0.61,0.31
c_0,0.39,0.48,0.42,,0.35,0.34,0.62,1.42,0.52,0.58,0.9,0.52,0.67,0.44,0.47,0.43
g_1,0.56,0.48,0.47,0.47,0.46,,0.47,0.48,1.74,0.31,0.47,0.55,0.35,0.34,,
d_0,0.52,0.36,,0.66,0.45,0.26,0.56,0.53,0.52,1.41,0.58,0.55,0.6,0.58,0.62,0.48
b_0,0.57,0.55,0.28,0.42,,0.34,0.38,0.48,0.58,0.61,1.47,0.83,0.59,,0.49,0.46
f_0,,0.33,0.54,0.55,0.47,0.41,0.58,0.66,0.52,0.56,0.49,1.47,0.69,0.59,0.44,0.75
h_0,0.83,0.63,0.69,0.65,0.43,0.4,,0.75,0.88,0.69,0.7,0.5,,0.45,0.85,0.49
a_0,0.51,0.48,0.67,0.56,0.46,,0.54,0.58,0.55,0.58,,0.53,0.85,1.59,0.53,
g_0,0.63,0.56,0.79,0.51,0.61,0.54,0.7,0.67,,0.61,0.69,1.11,0.72,0.59,,0.51
e_0,0.49,,0.54,0.48,0.49,,0.68,0.82,,0.7,0.5,0.58,0.7,,0.69,1.64
