,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,14.69,0.61,0.5,0.68,0.56,0.56,0.94,0.93,2.18,0.8,0.96,0.97,1.08,1.11,0.59,0.69
f_1,1.28,15.22,0.53,0.54,0.51,0.43,0.78,0.73,0.8,0.65,0.38,0.78,0.83,0.62,0.64,0.9
d_1,0.57,0.53,18.79,0.43,0.51,0.64,0.76,1.02,0.43,2.32,1.08,1.15,1.06,0.89,1.05,0.97
c_1,0.44,0.61,0.54,18.97,1.24,0.46,0.78,0.72,0.8,0.31,0.86,0.64,1.05,0.93,1.03,0.94
b_1,0.46,0.58,0.48,0.61,19.97,1.28,1.02,0.96,0.83,0.99,0.95,0.46,0.85,0.81,0.86,0.96
a_1,0.43,0.67,0.61,0.7,0.58,32.26,1.02,0.59,0.76,0.84,0.83,1.03,0.83,0.44,0.79,1.03
h_1,0.65,1.07,0.78,0.72,0.62,0.59,4.94,1.78,0.95,1.07,1.33,1.13,0.63,1.13,1.23,1.58
g_1,0.57,0.57,1.57,0.56,0.58,0.71,1.18,5.88,0.85,1.11,2.55,1.16,1.16,1.37,1.69,0.69
d_0,0.55,0.69,0.45,1.97,0.77,0.77,1.11,1.03,2.49,0.95,1.18,1.16,1.09,1.38,1.27,1.32
c_0,0.81,0.71,0.86,0.39,0.53,0.76,1.19,1.1,1.17,3.28,1.64,3.92,1.32,1.48,1.32,1.65
f_0,0.53,0.4,0.87,0.97,0.69,0.87,1.33,1.25,1.12,1.26,3.76,1.58,1.37,1.53,3.42,1.55
b_0,0.75,0.69,0.96,0.79,0.42,0.52,1.05,1.28,1.07,0.89,1.41,3.75,1.62,3.42,1.43,1.58
h_0,0.6,1.16,0.81,0.79,0.63,0.69,0.61,1.47,1.2,0.96,1.28,1.12,0.77,1.02,1.27,1.74
a_0,0.68,0.79,1.05,0.71,0.64,0.55,1.26,1.17,1.15,1.07,1.32,1.15,1.62,4.09,1.63,1.36
e_0,0.42,0.99,0.83,0.7,0.8,0.59,1.48,0.97,1.27,1.49,1.14,1.4,1.3,1.43,4.26,1.54
g_0,0.53,0.54,1.87,0.85,0.59,0.59,1.09,0.93,0.84,1.17,1.63,1.32,1.17,1.28,1.18,0.86
