,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.84,2.07,1.66,2.1,1.66,0.39,0.59,0.4,0.42,0.37,0.8,0.21,0.39,0.36,0.36
e_1,1.08,0.44,2.19,1.93,2.42,2.21,0.68,0.72,0.52,0.52,0.44,0.56,0.32,0.41,1.07,0.35
d_1,2.23,2.16,0.42,2.43,2.07,2.12,0.53,0.33,1.08,0.35,0.38,0.33,0.24,0.34,0.41,0.18
c_1,1.89,2.04,2.56,0.41,2.12,1.76,0.77,0.62,0.22,0.92,0.46,0.38,0.28,0.42,0.42,0.32
b_1,2.52,2.25,2.36,1.19,0.38,3.24,0.74,0.84,0.56,0.62,2.04,0.6,0.49,0.58,0.49,0.42
a_1,3.59,3.14,2.7,4.16,1.19,0.32,0.82,0.85,0.57,0.7,0.9,0.56,0.54,1.62,0.58,0.42
h_1,3.35,2.74,3.38,3.83,2.65,2.86,0.34,1.02,0.74,0.63,0.73,0.67,0.86,0.62,0.75,0.55
g_1,4.07,3.85,3.1,4.21,4.11,3.57,0.65,0.32,0.77,0.6,0.7,0.8,0.41,0.66,0.67,0.79
d_0,4.55,2.13,6.48,3.98,3.57,4.2,1.01,1.46,0.4,0.91,0.81,0.69,0.53,0.86,0.8,0.58
c_0,4.26,3.57,1.98,10.65,3.96,3.5,1.1,1.12,1.01,0.36,0.81,0.86,0.58,0.94,0.62,0.57
b_0,4.06,3.5,3.2,6.19,7.38,3.7,1.12,0.94,0.77,0.37,0.36,0.68,0.49,0.75,0.66,0.6
f_0,8.59,3.47,3.54,4.57,4.17,3.81,1.18,0.8,1.06,0.82,0.85,0.34,0.69,0.77,0.8,0.31
h_0,5.14,3.91,3.87,5.0,5.9,4.51,2.11,1.27,1.01,0.68,0.89,0.8,1.2,0.78,0.69,0.65
a_0,4.96,4.69,4.02,4.6,6.97,8.73,1.71,1.42,0.97,0.81,0.49,0.89,0.58,0.35,0.93,0.55
e_0,6.86,8.17,3.59,5.48,5.71,4.14,1.38,1.39,0.84,0.95,0.96,0.49,0.8,0.67,0.31,0.55
g_0,6.16,5.05,4.36,5.43,5.64,6.33,1.04,2.1,0.99,0.88,1.16,0.87,0.53,0.82,0.86,1.23
