,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.88,0.93,0.84,0.95,0.58,0.55,0.64,0.57,0.58,0.52,0.48,0.53,0.62,0.43
e_1,0.81,1.0,0.94,1.21,0.94,0.72,0.79,0.69,0.72,0.96,0.63,0.8,0.66,0.67,0.61,0.66
d_1,1.14,1.07,1.0,0.92,0.93,0.72,0.7,0.91,0.52,0.61,0.67,0.62,0.59,0.5,0.46,0.61
c_1,1.08,0.83,1.09,1.0,1.26,0.82,0.79,0.53,0.62,0.47,0.53,0.56,0.61,0.53,0.61,0.51
b_1,1.18,1.06,1.08,0.8,1.0,1.31,0.81,0.76,0.67,0.72,0.79,0.66,0.71,0.62,0.56,0.55
a_1,1.06,1.4,1.39,1.2,0.76,1.0,0.83,0.85,0.95,0.86,0.84,0.77,0.77,0.68,0.75,0.67
h_1,1.76,1.22,1.44,1.28,1.22,1.14,1.0,0.86,1.1,0.94,0.99,0.81,0.81,0.72,1.0,0.77
c_0,1.81,1.46,1.05,1.8,1.3,1.21,1.19,1.0,1.19,1.29,1.42,0.99,0.95,1.03,0.81,0.84
g_1,1.54,1.44,1.88,1.56,1.58,1.05,0.91,0.83,1.0,0.87,0.91,1.04,0.68,0.92,0.69,0.93
d_0,1.67,0.99,1.82,2.21,1.41,1.25,1.1,0.78,1.15,1.0,1.01,0.94,0.95,0.91,1.02,0.91
b_0,1.78,1.48,1.54,2.02,1.31,1.1,1.02,0.71,1.11,1.04,1.0,0.96,0.98,1.48,0.97,0.92
f_0,1.92,1.29,1.63,1.75,1.49,1.28,1.27,0.98,0.91,1.02,0.92,1.0,0.92,1.04,0.66,1.35
h_0,2.11,1.56,1.65,1.61,1.47,1.22,1.22,1.03,1.53,1.05,0.99,0.99,0.99,0.88,1.04,0.74
a_0,1.94,1.42,2.0,1.86,1.66,1.3,1.45,1.01,1.07,1.11,0.73,1.0,1.18,1.0,1.1,1.14
g_0,1.62,1.6,2.19,1.73,1.74,1.22,0.99,1.25,1.46,1.0,1.04,1.54,0.97,0.85,1.0,1.02
e_0,2.41,1.67,1.63,1.96,1.64,1.49,1.3,1.2,1.01,1.04,1.1,0.73,1.3,0.93,0.96,1.0
