,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,2.6,3.65,3.21,2.77,3.97,1.84,1.62,2.29,1.64,2.16,1.71,2.07,1.5,1.14,
f_1,3.68,0.42,4.0,3.31,2.85,4.4,1.55,3.03,1.65,1.67,1.5,,1.39,0.93,2.23,1.56
d_1,3.75,3.06,0.4,4.87,3.39,3.91,2.37,1.5,,1.7,1.69,1.2,1.46,1.28,1.17,
c_1,4.21,3.87,3.7,0.4,4.13,3.46,1.71,1.77,0.98,,1.5,1.32,1.94,1.49,1.62,1.69
b_1,4.73,4.39,3.61,2.26,0.36,3.58,1.65,1.61,1.61,1.72,,2.23,1.81,1.28,1.31,1.37
a_1,4.21,3.35,2.97,4.45,2.8,0.29,,1.58,2.0,1.76,1.43,1.3,,1.49,1.15,
h_1,1.75,1.8,1.52,1.8,2.22,,0.27,0.95,0.72,0.91,0.83,0.8,0.65,,1.05,0.87
g_1,2.22,1.73,2.0,1.77,2.29,1.98,0.82,0.25,0.78,0.71,0.69,0.95,0.94,0.52,,0.99
d_0,0.97,1.81,,1.93,1.61,1.43,0.89,1.02,0.29,0.71,0.75,0.81,0.58,0.62,0.62,0.63
c_0,1.4,1.67,0.98,,2.22,1.38,0.88,0.93,1.02,0.28,0.86,1.13,0.7,0.56,0.5,0.64
b_0,1.32,1.37,1.63,2.02,,1.94,0.86,1.16,0.7,0.5,0.27,0.65,0.87,0.79,0.64,0.59
f_0,1.84,,2.19,1.9,1.22,2.24,0.96,0.52,0.59,0.56,0.74,0.26,0.74,1.21,0.36,0.85
a_0,1.95,1.66,1.8,1.65,1.81,,1.02,0.88,0.83,0.77,0.56,0.9,0.23,0.38,0.49,
h_0,1.33,1.68,1.22,1.08,1.24,1.1,,1.15,0.56,0.59,0.5,0.4,0.99,,0.47,0.41
g_0,1.63,1.16,1.53,1.34,1.77,1.67,0.45,,0.54,0.61,0.51,0.75,0.73,0.35,,0.61
e_0,,2.21,,1.27,1.65,,0.68,0.64,0.84,0.96,0.93,0.43,,0.7,0.66,0.21
