,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,12.1,1.81,0.52,0.56,0.56,0.6,0.95,0.92,1.02,0.89,1.06,0.5,0.86,0.82,0.55,0.74
e_1,0.7,13.16,0.59,0.85,0.61,0.55,0.98,0.78,2.42,0.89,0.99,0.97,0.96,1.01,0.61,0.96
d_1,0.79,0.54,16.37,0.45,0.56,0.51,1.0,2.55,0.41,0.87,1.24,1.11,1.26,1.06,1.15,1.17
c_1,0.53,0.51,0.61,15.58,1.89,0.58,0.79,0.48,0.84,0.8,0.58,1.08,0.86,0.84,1.0,0.67
b_1,0.6,0.54,0.68,0.68,14.96,1.81,0.72,0.71,0.74,0.89,0.51,0.89,0.65,1.09,1.0,1.11
a_1,0.82,0.52,0.78,0.74,0.58,21.3,1.03,0.95,0.9,0.98,1.03,0.95,0.65,1.13,1.15,1.06
h_1,1.21,0.79,0.79,0.75,0.56,0.62,3.92,1.01,0.92,1.36,1.31,1.07,1.25,0.76,1.09,1.59
c_0,0.83,0.72,1.06,0.5,0.49,0.75,1.19,2.51,0.92,1.23,3.11,1.11,1.71,1.28,1.14,1.37
d_0,0.69,0.72,0.48,2.31,0.85,0.6,0.96,0.6,2.37,1.04,0.86,1.08,1.04,0.97,0.97,1.01
g_1,0.58,0.54,1.61,0.8,0.68,0.72,1.15,1.09,0.75,4.69,1.08,2.33,1.04,1.1,1.25,0.89
b_0,0.76,0.81,0.94,0.83,0.41,0.63,1.21,1.13,1.04,1.27,2.52,1.19,2.86,1.17,1.08,1.16
f_0,0.57,0.49,0.87,0.94,0.79,0.78,1.18,1.0,1.01,1.1,0.93,3.14,0.94,1.08,3.83,1.32
a_0,1.02,0.74,1.07,0.74,0.54,0.57,1.27,1.11,1.05,1.07,1.4,0.95,2.87,1.43,1.16,1.34
h_0,1.17,0.71,0.89,0.79,0.62,0.8,0.57,1.11,1.12,1.5,1.21,0.92,0.96,0.7,1.27,1.54
e_0,0.92,0.38,0.71,0.93,0.77,0.87,1.25,1.24,1.02,1.35,1.36,1.15,1.11,1.62,3.57,1.48
g_0,0.61,0.63,1.76,0.76,0.61,0.77,1.11,1.19,0.8,0.76,1.0,1.79,1.1,1.05,1.43,0.74
