,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.48,0.25,0.14,0.17,0.16,0.14,0.21,0.18,0.19,0.2,0.21,,0.17,0.21,0.13,0.16
e_1,0.17,1.5,0.18,0.17,0.15,0.1,0.17,0.2,0.23,0.3,0.22,0.2,0.17,0.2,,0.12
d_1,0.19,0.16,1.51,0.24,0.13,0.15,0.2,0.18,0.28,,0.17,0.15,0.15,0.21,0.17,0.2
c_1,0.19,0.17,0.11,1.55,0.28,0.14,0.22,0.2,,0.13,0.21,0.2,0.15,0.25,0.18,0.24
b_1,0.17,0.18,0.2,0.13,1.59,0.19,0.29,0.21,0.2,0.21,,0.21,0.15,0.19,0.16,0.16
a_1,0.16,0.19,0.2,0.19,0.17,1.76,0.23,0.18,0.2,0.25,,,,0.25,,0.24
h_1,0.48,0.42,0.37,0.38,0.33,0.33,1.62,0.45,0.46,0.46,0.42,0.37,0.47,,0.38,0.56
g_1,0.33,0.4,0.55,0.27,0.3,0.36,0.44,1.72,0.56,0.47,0.37,0.55,0.38,0.54,0.56,
c_0,0.47,0.51,0.4,,0.39,0.43,0.53,0.41,1.45,0.55,0.92,0.53,0.48,0.56,0.39,0.51
d_0,0.58,0.4,,0.81,0.43,0.36,0.54,0.45,0.56,1.43,0.5,0.48,0.53,0.56,0.35,0.59
b_0,0.5,0.4,0.52,0.38,,,0.63,0.52,0.48,0.66,1.49,0.39,0.79,0.76,0.45,0.68
f_0,,0.46,0.55,0.42,0.52,,0.5,0.45,0.54,0.69,0.71,1.52,0.4,0.48,0.77,0.47
a_0,0.5,0.6,0.59,0.49,0.39,,0.55,0.58,0.47,0.59,0.43,0.62,1.58,0.84,,0.43
h_0,0.76,0.59,0.69,0.51,0.65,0.39,,0.78,0.71,0.72,0.47,0.74,0.53,,0.55,1.0
e_0,0.67,,0.43,0.52,0.43,,0.58,0.45,0.71,0.5,0.49,0.52,,0.86,1.67,0.55
g_0,0.58,0.64,0.89,0.49,0.59,0.44,0.68,,0.78,0.73,0.49,1.23,0.66,0.56,0.58,
