,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.68,7.71,5.34,4.66,6.05,4.14,1.64,3.38,2.06,1.91,1.98,,1.24,2.3,1.55,2.37
e_1,3.28,0.67,5.83,6.42,6.51,4.8,2.41,2.17,3.13,2.12,1.94,2.42,1.71,2.14,1.69,
c_1,6.24,5.71,0.66,5.5,6.72,5.62,2.93,2.28,1.44,,2.59,2.12,1.47,1.56,1.87,1.91
d_1,7.45,6.55,7.66,0.65,6.39,7.04,2.46,1.81,,2.46,1.58,1.88,1.69,1.74,1.22,1.57
b_1,7.43,5.59,3.42,6.2,0.62,7.78,2.73,3.34,2.48,2.72,,2.73,1.97,2.64,1.89,1.77
a_1,7.61,6.93,6.9,6.83,3.73,0.57,3.57,3.2,3.14,3.71,,,3.07,,,
h_1,5.64,4.83,4.67,4.79,4.69,4.34,0.61,2.53,1.68,2.16,1.59,1.83,,1.43,1.47,2.02
g_1,4.41,6.31,5.82,6.1,5.63,4.94,2.22,0.58,2.21,2.05,1.63,2.3,1.24,2.42,,1.61
d_0,4.78,2.68,5.29,,4.13,4.01,2.16,2.13,0.71,1.73,1.78,1.57,1.81,1.89,2.14,1.13
c_0,5.45,4.38,,3.03,4.41,4.28,2.16,2.33,1.81,0.7,2.09,1.72,1.39,2.07,1.86,2.13
b_0,5.92,6.69,6.24,6.9,,,2.57,2.16,2.21,1.08,0.67,1.91,1.15,1.81,1.08,1.8
f_0,,4.93,4.76,7.46,6.73,,2.38,1.6,1.8,1.76,2.13,0.65,2.34,1.63,1.02,1.66
h_0,4.89,5.64,4.26,3.99,3.82,3.14,,1.95,1.22,1.68,1.87,1.08,,2.04,1.29,1.46
a_0,5.87,6.77,8.18,6.11,6.91,,2.98,2.24,1.87,1.97,1.64,2.21,1.31,0.61,1.59,
g_0,5.73,5.92,5.86,4.85,4.18,,1.88,,1.55,1.4,2.03,1.88,1.33,1.54,,1.5
e_0,6.36,,6.55,9.04,6.63,,2.95,3.19,2.78,1.81,1.73,1.52,1.87,,1.55,0.59
