,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,5.77,7.97,9.44,8.72,8.62,3.67,3.12,3.22,2.74,2.8,2.8,1.95,2.17,1.68,
f_1,13.57,1.07,10.1,9.11,9.21,6.25,2.57,2.56,3.11,2.14,2.78,,1.77,3.14,2.25,1.93
d_1,9.95,8.23,1.07,9.98,8.39,,3.62,,2.68,3.98,3.11,3.0,1.88,2.37,1.39,2.23
c_1,10.06,10.57,11.68,1.07,13.19,6.66,4.56,1.96,3.3,,3.55,2.71,2.39,2.77,2.38,1.57
b_1,11.12,10.74,11.05,5.72,1.07,13.07,5.0,3.53,3.75,5.22,,3.87,2.16,2.66,2.15,3.61
a_1,13.35,21.66,,17.9,7.24,1.07,4.04,4.1,,4.41,3.1,3.97,3.25,,3.62,2.83
h_1,13.32,14.22,13.78,12.53,15.58,15.24,1.41,4.65,5.47,3.63,3.84,3.13,,4.48,3.61,5.18
d_0,9.33,16.8,,14.6,11.4,11.44,4.99,1.74,5.88,5.63,3.74,3.86,3.86,3.04,3.36,4.01
g_1,19.04,18.08,13.94,16.37,18.39,,5.41,5.26,1.41,4.99,6.06,6.0,2.85,4.16,,
c_0,16.36,16.2,8.33,,12.89,14.81,5.12,4.38,5.3,1.69,5.27,4.45,3.3,3.24,4.77,4.29
b_0,15.63,16.02,17.23,14.85,,22.26,6.09,5.5,4.38,3.07,1.7,4.57,3.56,5.07,3.23,4.08
f_0,15.63,,15.57,18.43,12.95,18.35,7.47,4.96,4.72,5.16,5.11,1.69,3.31,5.48,2.1,4.17
h_0,17.97,14.31,19.0,15.87,22.95,14.71,,4.05,5.16,4.96,3.95,4.6,,3.57,3.78,4.3
a_0,31.96,21.48,22.33,23.98,21.43,,8.55,7.45,8.07,7.92,4.46,5.51,5.4,1.73,5.93,
g_0,21.91,23.24,21.5,17.79,22.12,13.74,5.13,4.99,,4.05,5.18,7.09,3.77,4.24,,5.93
e_0,,30.62,28.5,31.66,15.81,21.65,6.31,7.61,,6.21,6.43,4.35,5.49,,4.21,1.73
