,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.64,1.93,2.02,2.35,1.73,0.43,0.45,0.6,0.36,0.4,0.72,0.18,0.43,0.32,0.32
d_1,2.24,0.42,2.22,2.11,1.68,1.88,0.68,0.91,0.39,0.5,0.41,0.42,0.29,0.39,0.38,0.2
e_1,1.08,2.51,0.43,2.35,2.2,2.1,0.59,0.48,0.76,0.37,0.43,0.55,0.37,0.43,1.02,0.37
c_1,2.11,2.77,1.76,0.41,2.41,2.23,0.52,0.22,0.6,0.93,0.39,0.39,0.33,0.4,0.39,0.3
b_1,2.4,2.28,2.5,1.3,0.39,2.03,0.84,0.57,0.67,0.63,1.31,0.42,0.37,0.55,0.68,0.36
a_1,4.77,2.72,2.41,2.58,1.35,0.33,0.87,0.59,1.06,0.56,0.65,0.56,0.44,1.33,0.57,0.37
h_1,3.1,3.08,3.4,3.98,3.33,3.07,0.33,0.7,0.88,0.65,0.59,0.68,0.7,0.54,0.61,0.55
d_0,3.74,7.51,1.95,3.42,4.47,4.13,1.26,0.4,1.01,0.73,0.7,0.7,0.54,0.63,0.84,0.56
g_1,3.96,3.36,4.1,3.71,4.06,3.49,0.79,0.93,0.3,0.82,0.73,0.79,0.39,0.84,0.65,1.24
c_0,4.45,1.88,4.04,8.73,4.24,3.61,1.17,1.15,1.16,0.38,0.84,0.67,0.65,0.67,0.69,0.55
b_0,3.87,3.97,3.45,4.63,9.17,4.5,1.04,0.63,0.99,0.38,0.37,0.76,0.58,0.74,0.72,0.53
f_0,9.73,3.53,3.97,4.48,4.32,4.24,1.14,0.77,0.76,0.77,0.84,0.35,0.6,0.8,0.85,0.37
h_0,4.83,4.05,4.19,4.67,4.1,4.01,1.87,1.15,1.22,0.88,0.79,0.94,1.19,0.7,0.69,0.77
a_0,5.84,3.66,4.58,5.04,6.87,9.26,1.57,1.01,1.28,1.1,0.47,0.99,0.77,0.32,0.7,0.57
e_0,9.82,4.27,7.25,5.53,6.0,3.6,1.38,1.07,1.2,1.01,0.79,0.47,0.69,1.09,0.31,0.59
g_0,5.52,5.37,4.85,5.16,4.63,5.45,1.1,1.18,2.17,1.02,0.94,0.92,0.54,0.77,0.97,1.23
