,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.89,1.68,1.74,1.93,1.71,0.45,0.49,0.58,0.36,0.4,0.38,0.25,0.36,1.33,0.26
f_1,1.55,0.17,1.15,1.77,2.26,1.77,0.31,0.41,0.59,0.31,0.33,1.31,0.16,0.32,0.31,0.31
d_1,2.13,1.67,0.15,2.49,1.53,1.39,0.52,1.16,0.29,0.3,0.28,0.41,0.23,0.26,0.3,0.14
c_1,1.41,1.98,2.7,0.15,1.38,1.44,0.49,0.17,0.77,1.14,0.4,0.36,0.22,0.41,0.31,0.24
b_1,1.9,1.85,2.59,0.76,0.14,2.52,0.49,0.32,0.43,0.66,2.25,0.26,0.21,0.45,0.31,0.22
a_1,1.94,1.75,1.75,2.06,0.86,0.1,0.59,0.37,0.44,0.35,0.41,0.3,0.3,1.11,0.44,0.3
h_1,0.95,1.02,0.83,0.97,1.05,0.88,0.06,0.25,0.21,0.18,0.2,0.18,0.49,0.16,0.18,0.16
d_0,0.46,1.11,2.55,0.94,1.28,1.19,0.28,0.08,0.33,0.16,0.16,0.17,0.17,0.15,0.16,0.16
g_1,0.99,1.11,0.98,1.19,0.79,0.7,0.23,0.25,0.05,0.2,0.18,0.17,0.11,0.26,0.17,0.23
c_0,0.98,0.79,0.48,3.18,1.12,1.06,0.35,0.26,0.26,0.07,0.16,0.18,0.16,0.19,0.14,0.12
b_0,0.83,0.9,0.72,1.07,2.94,0.81,0.26,0.19,0.35,0.1,0.06,0.2,0.16,0.15,0.18,0.14
f_0,0.95,2.1,0.97,0.93,0.72,0.75,0.29,0.21,0.16,0.16,0.16,0.06,0.17,0.15,0.13,0.11
h_0,0.77,1.13,1.04,0.95,0.85,0.71,0.71,0.2,0.25,0.24,0.17,0.18,0.4,0.18,0.12,0.17
a_0,0.62,1.07,0.92,1.27,1.12,2.15,0.31,0.16,0.24,0.14,0.1,0.18,0.15,0.05,0.15,0.11
e_0,1.92,1.17,0.72,0.99,0.96,0.82,0.26,0.15,0.23,0.19,0.14,0.08,0.16,0.2,0.05,0.11
g_0,0.99,0.94,0.88,0.99,1.01,0.84,0.17,0.19,0.53,0.14,0.15,0.2,0.12,0.19,0.14,0.31
