,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.49,1.25,1.41,1.91,3.78,18.22,31.2,41.87,44.35,40.38,,70.21,78.16,139.99,134.91
e_1,0.67,1.0,1.09,1.19,1.43,3.01,18.79,41.28,36.33,42.95,33.38,58.1,63.44,73.06,,125.16
c_1,0.8,0.92,1.0,1.04,1.86,2.71,14.53,19.26,24.11,,35.83,53.77,67.97,53.36,67.17,92.88
d_1,0.71,0.84,0.96,1.0,1.27,2.4,11.96,,21.8,28.43,29.65,37.21,61.19,74.83,56.84,80.8
b_1,0.52,0.7,0.54,0.79,1.0,2.61,13.59,17.52,20.88,15.87,,31.36,49.21,36.17,43.64,75.03
a_1,0.26,0.33,0.37,0.42,0.38,1.0,6.29,9.96,,12.24,11.57,17.84,17.99,,,
h_1,0.05,0.05,0.07,0.08,0.07,0.16,1.0,1.83,1.92,1.92,2.3,2.65,,4.83,6.22,5.25
d_0,0.03,0.02,0.05,,0.06,0.1,0.55,1.0,1.14,1.0,1.35,2.12,3.16,2.22,3.64,3.88
g_1,0.02,0.03,0.04,0.05,0.05,,0.52,0.88,1.0,1.2,1.54,2.55,1.7,2.38,2.92,
c_0,0.02,0.02,,0.04,0.06,0.08,0.52,1.0,0.83,1.0,1.69,1.82,2.47,1.93,2.82,3.35
b_0,0.02,0.03,0.03,0.03,,0.09,0.43,0.74,0.65,0.59,1.0,1.41,1.74,,2.69,3.18
f_0,,0.02,0.02,0.03,0.03,0.06,0.38,0.47,0.39,0.55,0.71,1.0,1.58,1.96,2.91,1.23
h_0,0.01,0.02,0.01,0.02,0.02,0.06,,0.32,0.59,0.41,0.58,0.63,,0.96,1.23,2.15
a_0,0.01,0.01,0.02,0.01,0.03,,0.21,0.45,0.42,0.52,,0.51,1.05,1.0,,1.84
e_0,0.01,,0.01,0.02,0.02,,0.16,0.27,0.34,0.35,0.37,0.34,0.81,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,,0.19,0.26,,0.3,0.31,0.81,0.46,0.54,,
