,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.23,1.22,0.98,1.03,0.98,0.48,0.52,0.43,0.33,0.39,0.34,0.31,0.38,0.35,0.21
f_1,0.95,0.65,1.24,1.11,1.02,0.85,0.39,0.46,0.37,0.54,0.39,0.48,0.26,0.37,0.31,0.33
e_1,1.12,0.73,0.64,1.27,1.22,1.02,0.48,0.53,0.42,0.59,0.4,0.46,0.37,0.39,0.45,0.41
c_1,1.44,1.12,0.93,0.64,1.18,0.91,0.51,0.27,0.46,0.47,0.37,0.38,0.32,0.37,0.4,0.32
b_1,1.28,1.31,1.1,0.78,0.62,1.6,0.57,0.41,0.51,0.49,0.66,0.4,0.36,0.39,0.36,0.33
a_1,1.3,1.52,1.42,1.46,0.73,0.58,0.61,0.47,0.52,0.63,0.64,0.6,0.4,0.69,0.53,0.41
h_1,1.68,1.86,1.75,1.79,1.58,1.47,0.55,0.65,0.62,0.87,0.61,0.64,0.57,0.49,0.6,0.59
d_0,2.47,1.67,1.16,2.27,1.84,1.82,1.0,0.58,0.67,0.96,0.77,0.84,0.62,0.62,0.68,0.74
c_0,1.3,2.05,1.94,2.39,2.03,1.73,0.93,0.97,0.57,0.89,0.79,0.66,0.61,0.65,0.63,0.55
g_1,2.03,1.83,1.71,2.11,1.93,1.65,0.73,0.67,0.66,0.53,0.69,0.76,0.44,0.53,0.62,0.62
b_0,1.71,2.21,1.99,2.6,2.17,1.59,0.92,0.72,0.49,0.83,0.55,0.66,0.59,0.74,0.74,0.56
f_0,2.04,2.52,2.0,2.13,2.09,1.73,0.88,0.78,0.69,0.66,0.78,0.54,0.63,0.72,0.78,0.44
h_0,2.31,2.4,2.02,2.26,2.16,1.8,1.19,0.83,0.77,1.04,0.76,0.78,0.76,0.7,0.64,0.69
a_0,1.98,2.49,2.19,2.3,2.84,2.35,1.24,0.84,0.72,1.26,0.57,0.78,0.65,0.54,0.8,0.63
e_0,2.23,3.19,2.63,2.21,2.35,1.96,0.98,0.96,0.88,0.89,0.83,0.5,0.73,0.76,0.53,0.59
g_0,2.71,2.44,2.25,2.68,2.53,2.23,0.92,0.86,0.92,1.16,0.9,0.94,0.57,0.84,0.74,0.77
