,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.69,2.42,2.13,2.88,2.14,2.03,8.46,9.08,7.37,17.99,10.24,10.4,16.77,10.55,7.27,16.55
f_1,3.72,6.02,1.97,2.25,2.07,2.19,6.9,8.52,6.3,10.46,10.09,5.95,15.58,9.84,6.97,13.23
d_1,2.17,2.3,6.38,1.63,2.23,2.4,8.75,17.94,8.67,7.47,11.85,11.12,16.82,11.73,13.45,16.74
c_1,2.2,2.03,2.16,7.41,4.21,2.22,7.46,5.74,8.5,9.89,9.15,10.67,14.37,8.4,9.75,15.15
b_1,1.9,2.35,2.24,2.38,8.47,4.48,8.06,8.23,7.79,9.52,6.13,9.71,15.8,7.63,10.63,14.94
a_1,2.2,2.27,2.33,2.37,2.14,10.32,8.68,10.1,9.81,8.76,11.11,12.85,18.55,8.14,13.68,16.54
h_1,2.06,3.38,2.64,2.25,2.39,2.12,17.79,10.99,11.61,11.19,12.17,12.26,12.03,12.12,13.58,22.33
c_0,2.39,2.65,2.68,1.89,2.13,2.36,10.66,18.71,10.6,13.04,22.35,13.65,19.29,16.15,13.85,20.07
g_1,2.05,2.27,3.71,1.97,2.75,2.47,8.05,11.74,21.65,9.99,12.06,16.18,14.5,13.16,12.83,11.53
d_0,2.28,2.48,1.72,4.56,2.61,2.12,8.16,8.52,8.98,17.36,11.62,11.21,18.59,12.19,11.44,18.58
b_0,2.47,2.84,2.8,2.59,1.97,1.52,9.14,11.15,8.76,11.19,19.93,12.42,16.51,25.82,13.57,18.14
f_0,1.71,1.87,2.76,2.85,2.79,2.58,9.88,12.29,10.29,13.03,12.99,21.74,18.32,15.25,26.1,17.81
h_0,2.5,3.21,2.64,2.52,2.55,2.12,5.89,9.84,11.6,11.8,12.99,9.75,13.08,11.8,12.44,21.04
a_0,2.37,2.69,2.81,3.08,2.33,1.19,9.79,12.09,9.87,12.71,10.66,12.64,20.3,26.36,12.53,17.35
e_0,1.7,3.19,2.23,2.57,2.37,2.86,9.84,12.98,10.14,12.77,13.67,13.27,21.11,13.67,28.1,20.46
g_0,2.04,2.14,3.78,2.88,2.38,2.21,8.56,11.52,7.49,11.11,13.42,17.7,16.74,12.68,13.14,13.92
