,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.11,3.0,2.78,2.62,2.65,2.38,0.59,0.83,0.6,0.54,0.58,0.84,0.31,0.47,0.46,0.48
e_1,1.72,1.1,3.43,3.19,3.05,3.11,0.86,0.95,0.71,0.69,0.7,0.85,0.46,0.71,0.54,0.8
d_1,3.29,3.75,1.1,3.8,3.45,2.73,0.8,0.58,1.08,0.54,0.59,0.57,0.42,0.61,0.3,0.64
c_1,3.29,2.84,4.03,1.11,3.46,3.38,0.99,0.98,0.41,0.99,0.68,0.7,0.54,0.7,0.49,0.59
b_1,4.4,3.7,4.18,2.27,1.12,3.76,1.4,1.23,0.94,1.35,1.57,0.85,0.62,0.86,0.65,0.96
a_1,6.48,5.26,6.13,4.89,2.76,1.13,2.01,1.62,1.21,1.49,1.54,1.19,0.9,1.91,0.83,1.17
h_1,12.79,11.3,10.1,11.74,11.62,10.24,1.65,3.31,2.68,2.05,2.16,2.31,2.35,1.89,1.98,2.16
g_1,13.61,16.0,12.63,14.15,14.38,12.47,2.98,1.66,3.68,2.78,3.02,2.84,1.69,2.74,2.88,2.68
d_0,15.31,8.24,18.99,16.12,15.02,13.77,4.07,4.61,2.03,2.97,3.3,2.98,2.7,3.43,2.5,3.34
c_0,19.78,16.66,9.23,23.76,17.88,12.96,4.32,4.37,4.56,1.97,3.43,2.83,2.6,3.21,2.25,3.18
b_0,18.44,15.27,12.08,24.7,23.43,14.26,4.44,4.49,3.28,1.72,1.93,2.86,2.33,3.13,2.04,2.7
f_0,24.99,18.71,18.77,17.99,17.09,18.15,5.83,3.59,4.11,3.73,3.98,1.99,2.6,3.66,1.6,3.56
h_0,23.16,23.85,19.78,20.89,17.42,16.63,9.16,6.75,4.82,3.87,4.33,4.29,4.24,3.69,2.98,3.31
a_0,24.04,28.51,20.64,23.94,30.89,35.02,6.18,6.31,5.83,3.68,2.69,4.56,2.99,2.26,3.3,3.6
g_0,32.46,25.88,27.24,30.81,23.84,26.61,6.13,10.49,6.77,4.97,5.48,4.96,3.01,5.64,4.42,4.98
e_0,46.32,34.42,25.96,26.83,28.91,32.72,7.19,8.42,5.4,4.89,5.19,2.69,4.28,4.49,3.21,2.38
