,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,0.64,1.01,0.72,0.62,0.52,0.7,0.58,0.81,0.83,0.7,0.47,0.83,0.61,0.71,0.55
d_1,0.76,1.53,0.67,0.56,0.66,0.56,0.87,0.71,1.25,0.54,0.87,0.88,0.84,0.75,0.86,0.71
e_1,0.7,0.69,1.53,0.76,0.62,0.52,0.8,0.83,0.83,1.29,0.78,0.85,0.95,0.63,0.83,0.41
c_1,0.68,0.73,0.64,1.58,1.04,0.61,0.76,0.65,0.46,0.65,0.56,0.73,0.75,0.57,0.79,0.7
b_1,0.71,0.73,0.65,0.64,1.6,0.99,0.84,0.74,0.68,0.78,0.48,0.68,0.83,0.59,0.79,0.76
a_1,0.89,0.84,0.85,0.62,0.53,1.7,0.9,0.87,0.79,0.81,1.07,0.69,0.94,0.59,0.85,0.53
h_1,1.23,0.9,0.83,0.87,0.79,0.73,1.72,1.08,1.05,0.94,1.01,0.95,0.77,0.84,1.21,0.81
g_1,1.03,1.3,0.78,0.83,0.82,0.67,1.05,1.78,1.02,0.79,1.02,1.3,1.2,1.01,0.81,0.91
c_0,1.07,0.94,0.86,0.77,0.72,0.84,1.18,1.12,1.61,1.11,1.8,1.16,1.24,1.03,1.03,1.05
d_0,1.02,0.62,0.79,1.59,0.91,0.81,1.1,1.39,0.88,1.59,1.16,1.09,1.21,0.84,1.17,1.03
b_0,1.03,1.14,0.87,1.18,0.57,0.6,1.15,1.08,0.94,1.16,1.68,1.05,1.38,1.81,1.17,1.02
f_0,0.83,1.02,0.88,1.01,0.89,0.91,1.28,1.1,1.08,1.17,1.13,1.7,1.24,0.94,1.16,1.78
h_0,1.18,1.04,0.95,1.07,0.88,0.85,0.95,1.22,1.19,1.2,1.14,1.07,0.88,0.97,1.5,0.97
a_0,1.17,1.02,1.01,1.12,0.86,0.42,1.17,1.11,1.17,1.31,0.9,1.25,1.49,1.78,1.33,1.13
g_0,1.06,1.31,0.88,1.11,0.93,0.82,1.18,0.9,1.36,1.23,1.07,1.5,1.14,1.01,0.93,1.01
e_0,1.08,1.16,0.9,1.05,0.89,1.03,1.32,1.15,1.15,1.01,1.2,0.98,1.34,1.06,1.27,1.8
