,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.84,0.94,1.01,0.96,0.8,0.2,0.18,0.32,0.19,0.18,0.23,0.1,0.16,0.19,0.15
e_1,0.56,0.41,0.97,1.19,1.01,0.85,0.25,0.2,0.29,0.19,0.2,0.25,0.14,0.2,0.27,0.14
d_1,1.15,1.03,0.41,0.95,0.85,0.86,0.26,0.19,0.17,0.26,0.19,0.17,0.12,0.18,0.18,0.09
c_1,0.97,0.83,1.29,0.39,1.03,0.86,0.29,0.26,0.28,0.12,0.2,0.2,0.14,0.18,0.18,0.13
b_1,1.13,1.04,1.14,0.57,0.39,1.13,0.33,0.27,0.28,0.21,0.29,0.2,0.16,0.19,0.2,0.17
a_1,1.39,1.25,1.1,1.23,0.64,0.33,0.36,0.3,0.38,0.33,0.4,0.27,0.21,0.4,0.27,0.19
h_1,1.68,1.65,1.79,1.87,1.59,1.34,0.29,0.37,0.49,0.36,0.33,0.33,0.32,0.32,0.35,0.25
c_0,2.23,2.11,1.22,3.14,2.03,1.73,0.56,0.29,0.47,0.55,0.39,0.37,0.28,0.41,0.34,0.25
g_1,2.1,2.02,1.83,1.91,1.93,1.89,0.45,0.36,0.26,0.42,0.4,0.38,0.23,0.38,0.32,0.29
d_0,1.67,1.25,2.43,2.49,2.14,1.67,0.66,0.45,0.68,0.32,0.42,0.47,0.31,0.38,0.43,0.35
b_0,2.26,2.05,1.61,2.9,2.72,1.92,0.58,0.26,0.55,0.44,0.28,0.39,0.33,0.37,0.38,0.25
f_0,2.86,2.19,1.95,2.07,2.27,1.87,0.66,0.47,0.4,0.56,0.45,0.28,0.33,0.45,0.38,0.2
h_0,2.32,2.3,2.26,2.38,2.37,2.12,0.8,0.46,0.67,0.47,0.48,0.45,0.46,0.41,0.41,0.32
a_0,3.02,2.34,2.08,2.49,2.97,3.08,0.64,0.45,0.69,0.51,0.31,0.39,0.4,0.27,0.42,0.32
e_0,3.33,3.24,2.31,2.48,2.53,2.57,0.74,0.5,0.66,0.54,0.52,0.28,0.33,0.38,0.25,0.27
g_0,2.75,2.52,2.52,2.66,2.59,2.45,0.61,0.58,0.83,0.58,0.58,0.55,0.32,0.51,0.5,0.45
