,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.15,1.02,0.89,0.94,0.69,0.65,0.91,0.63,0.61,0.66,0.6,0.57,0.52,0.58
f_1,1.26,1.0,1.05,0.94,0.88,0.77,0.52,0.68,0.65,0.69,0.63,0.56,0.55,0.51,0.48,0.6
c_1,0.86,0.94,1.0,1.01,1.38,0.85,0.8,0.7,0.49,0.57,0.51,0.67,0.6,0.59,0.56,0.61
d_1,0.98,1.07,0.99,1.0,1.0,0.86,0.77,0.6,0.83,0.71,0.84,0.65,0.56,0.54,0.62,0.42
b_1,1.13,1.13,0.74,0.99,1.0,1.37,0.73,0.69,0.6,0.68,0.78,0.57,0.52,0.72,0.61,0.7
a_1,1.07,1.28,1.17,1.17,0.73,1.0,1.1,0.94,0.79,0.84,0.71,0.76,0.82,0.77,0.72,0.68
h_1,1.44,1.99,1.25,1.3,1.38,0.93,1.0,1.1,0.92,0.89,0.92,0.8,0.87,0.87,0.89,1.0
g_1,1.54,1.47,1.4,1.72,1.38,1.02,0.91,1.0,0.91,0.96,0.9,1.15,0.82,0.73,0.94,0.91
d_0,1.09,1.49,2.09,1.33,1.6,1.26,1.07,1.07,1.0,1.08,0.77,0.97,0.89,1.03,0.94,0.86
b_0,1.52,1.48,1.72,1.39,1.45,1.16,1.1,1.01,0.92,1.0,0.8,0.98,1.31,0.99,0.88,0.78
c_0,1.66,1.59,1.89,1.15,1.29,1.46,1.09,1.03,1.32,1.27,1.0,1.03,0.93,1.0,0.95,0.87
f_0,1.52,1.78,1.46,1.52,1.73,1.42,1.18,0.87,1.02,1.02,0.98,0.99,1.03,1.01,1.29,0.69
a_0,1.68,1.82,1.59,1.8,2.01,1.4,1.12,1.25,1.17,0.81,0.98,0.95,1.0,1.13,0.88,1.07
h_0,1.72,2.01,1.67,1.8,1.44,1.29,1.17,1.38,0.97,1.0,1.01,1.01,0.94,1.0,0.82,1.07
e_0,1.88,2.11,1.78,1.52,1.6,1.29,1.1,0.98,1.1,1.23,1.11,0.8,1.2,1.22,1.0,1.04
g_0,1.85,1.67,1.62,2.3,1.45,1.41,1.01,1.1,1.19,1.25,1.11,1.4,0.97,0.93,0.95,1.0
