,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.47,0.16,0.16,0.15,0.2,0.14,0.18,0.31,0.15,0.18,0.16,0.2,0.22,0.2,,0.16
f_1,0.29,1.47,0.18,0.15,0.15,0.14,0.16,0.21,0.18,0.15,0.15,,0.18,0.2,0.15,0.2
c_1,0.21,0.18,1.52,0.23,0.26,0.13,0.23,0.16,,0.12,0.17,0.17,0.19,0.12,0.22,0.21
d_1,0.18,0.18,0.08,1.55,0.16,0.17,0.22,,0.26,0.25,0.15,0.2,0.23,0.15,0.2,0.21
b_1,0.15,0.2,0.15,0.2,1.6,0.25,0.23,0.29,0.18,,0.12,0.2,0.21,0.15,0.14,0.2
a_1,0.14,0.19,0.17,0.15,0.12,1.75,0.22,0.3,0.28,,0.17,0.21,0.29,,0.2,0.17
h_1,0.45,0.57,0.39,0.39,0.31,0.31,1.65,0.49,0.4,0.38,0.39,0.49,,0.36,0.4,0.55
d_0,0.48,0.42,0.84,,0.36,0.29,0.52,1.4,0.6,0.54,0.49,0.39,0.57,0.41,,0.6
c_0,0.57,0.62,,0.49,0.43,0.25,0.58,0.56,1.45,0.68,0.41,0.48,0.61,0.53,0.43,0.48
b_0,0.66,0.56,0.55,0.42,,,0.6,0.59,0.54,1.54,0.44,0.44,0.58,0.66,,0.61
g_1,0.37,0.42,0.37,0.56,0.4,0.36,0.54,0.48,0.53,0.53,1.86,0.52,0.46,,0.38,
f_0,0.38,,0.47,0.4,0.36,0.43,0.5,0.78,0.67,0.66,0.52,1.56,0.77,0.5,0.69,0.47
h_0,0.56,0.74,0.74,0.65,0.42,0.55,,0.71,0.82,0.74,0.73,0.54,,0.61,0.51,0.77
a_0,0.41,0.45,0.56,0.56,0.51,,0.55,0.7,0.55,0.56,,0.61,0.55,1.63,0.5,0.58
e_0,,0.66,0.4,0.47,0.51,0.43,0.63,,0.74,,0.57,0.55,0.8,0.51,1.66,0.49
g_0,0.55,0.52,0.69,0.75,0.68,0.46,0.71,0.66,0.9,0.55,,0.96,0.8,0.59,0.57,
