,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.33,0.22,0.26,0.31,0.32,0.23,0.53,0.99,0.59,0.57,0.63,0.63,0.44,0.72,,0.89
f_1,0.43,2.4,0.3,0.27,0.26,0.24,0.49,0.58,0.59,0.7,0.59,,0.7,0.71,0.45,0.7
d_1,0.26,0.25,2.49,0.26,0.26,0.26,0.63,,0.46,1.02,0.61,0.59,0.63,0.84,0.74,0.73
c_1,0.25,0.27,0.25,2.55,0.41,0.35,0.47,0.57,0.51,,0.58,0.52,0.61,0.91,0.68,1.0
b_1,0.24,0.31,0.34,0.26,2.73,0.45,0.57,0.69,0.5,0.57,,0.72,0.57,0.82,0.6,
a_1,0.33,0.28,0.26,0.27,0.24,3.33,0.54,0.51,,0.62,,0.7,,0.65,0.71,0.74
h_1,0.57,0.76,0.53,0.6,0.55,0.56,3.72,1.0,0.94,1.16,1.17,1.07,1.17,,1.33,1.54
d_0,0.56,0.63,,0.97,0.56,0.65,1.2,3.53,1.6,1.24,1.59,1.11,1.47,1.65,1.25,1.64
g_1,0.44,0.4,0.79,0.49,0.47,,1.15,1.02,4.3,1.34,1.21,1.63,1.1,1.76,1.41,
c_0,0.57,0.66,0.53,,0.57,0.59,1.34,1.37,1.25,3.63,2.12,1.52,1.19,1.78,1.35,1.93
b_0,0.61,0.72,0.61,0.58,,,1.55,1.59,1.27,1.15,3.85,1.59,,1.59,1.11,1.26
f_0,0.49,,0.7,0.65,0.52,0.52,1.27,1.67,1.05,1.52,1.19,3.95,1.52,2.11,2.5,1.66
a_0,0.84,0.58,0.51,0.67,0.53,,1.47,1.2,1.32,1.34,,1.6,4.53,1.71,1.35,
h_0,0.88,1.06,0.67,0.64,0.67,0.86,,1.96,1.53,1.54,1.52,1.48,1.53,,1.31,2.96
e_0,,0.62,0.74,0.59,0.74,0.8,0.99,1.33,1.08,1.35,1.57,1.13,1.47,2.11,4.62,1.93
g_0,0.73,0.57,1.01,0.74,,0.63,1.3,1.35,,1.52,2.02,2.77,,1.87,1.59,
