,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.49,0.15,0.16,0.17,0.17,0.12,0.26,0.16,0.31,0.15,0.2,0.17,0.21,0.17,0.14,
f_1,0.28,1.5,0.15,0.16,0.15,0.12,0.18,0.2,0.21,0.26,0.19,,0.19,0.17,0.11,0.16
d_1,0.2,0.17,1.53,0.14,0.16,0.13,0.19,0.14,,0.35,0.21,0.2,0.23,0.15,0.21,0.16
c_1,0.17,0.18,0.21,1.54,0.22,0.14,0.25,0.21,0.19,,0.13,0.17,0.25,0.19,0.17,0.11
b_1,0.16,0.2,0.17,0.16,1.58,0.18,0.18,0.19,0.2,0.26,,0.19,0.28,0.19,0.15,0.15
a_1,0.21,0.2,0.13,0.19,0.17,1.74,0.24,0.22,0.26,0.17,0.17,0.18,0.21,0.23,,
h_1,0.35,0.51,0.4,0.31,0.41,0.27,1.62,0.42,0.47,0.38,0.44,0.57,,0.6,0.42,0.4
g_1,0.37,0.42,0.59,0.39,0.31,0.27,0.55,1.72,0.47,0.38,0.35,0.62,0.46,,0.42,0.39
d_0,0.4,0.5,,0.61,0.54,0.35,0.53,0.44,1.41,0.5,0.54,0.53,0.67,0.61,0.47,0.37
c_0,0.56,0.36,0.38,,0.31,0.38,0.69,0.67,0.61,1.45,0.9,0.6,0.48,0.74,0.41,
b_0,0.41,0.54,0.41,0.63,,0.39,0.65,0.56,0.64,0.42,1.47,0.54,0.65,0.59,0.6,0.48
f_0,0.54,,0.51,0.54,0.42,0.4,0.43,0.51,0.45,0.53,0.49,1.49,0.72,0.57,0.53,
h_0,0.58,0.85,0.54,0.51,0.57,0.49,,0.68,0.83,0.65,0.64,0.62,,0.85,0.56,0.72
g_0,0.61,0.59,1.11,0.55,0.63,0.54,0.57,,0.65,0.52,0.7,0.94,0.66,,,0.52
a_0,0.42,0.46,0.49,0.6,0.43,,0.54,0.44,0.63,0.88,0.64,0.45,0.87,,1.6,
e_0,,0.52,0.39,0.6,0.47,,0.59,0.6,0.68,,0.47,,0.57,0.7,,1.71
