,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.41,2.11,1.36,1.51,1.39,1.34,2.65,2.64,2.81,3.33,3.0,2.18,3.53,2.7,3.69,2.67
e_1,1.46,2.41,1.24,1.9,1.45,1.4,3.03,3.2,3.13,5.1,3.33,3.37,4.17,3.88,3.95,2.83
d_1,1.66,1.43,2.52,1.3,1.37,1.35,3.03,2.75,4.93,2.65,3.8,3.46,4.27,3.46,3.82,3.1
c_1,1.38,1.25,1.57,2.62,2.45,1.44,2.86,2.85,2.1,2.62,2.6,3.36,3.91,3.41,3.57,3.28
b_1,1.43,1.42,1.68,1.24,2.9,2.61,2.69,2.75,3.12,2.95,2.5,2.98,4.09,2.79,4.5,3.46
a_1,1.54,1.54,1.8,1.37,1.28,3.38,2.9,2.8,3.36,2.6,3.61,3.34,4.6,2.64,4.73,3.75
h_1,1.85,1.51,1.67,1.52,1.59,1.42,4.11,3.64,2.98,3.28,3.38,3.45,3.96,3.01,5.24,3.65
g_1,1.59,1.28,2.03,1.58,1.56,1.6,2.61,4.61,3.18,2.71,3.18,4.21,3.69,3.27,3.36,4.11
c_0,1.76,1.68,1.43,1.53,1.31,1.44,3.37,3.25,4.38,3.21,5.49,3.86,4.52,4.01,4.86,3.88
d_0,1.49,1.3,1.19,2.58,1.69,1.65,2.98,3.05,2.86,4.24,3.0,3.75,3.99,3.02,3.92,3.47
b_0,1.77,1.63,1.39,1.78,1.24,1.2,3.27,3.16,2.98,3.74,4.54,3.73,4.75,6.52,4.71,4.24
f_0,1.47,1.29,1.69,1.62,1.69,1.85,3.29,2.97,3.49,3.24,3.42,4.71,4.11,3.48,3.68,6.39
h_0,1.97,1.49,1.54,1.63,1.3,1.47,2.59,3.67,3.3,3.24,3.25,3.28,3.39,3.44,5.11,3.32
a_0,1.79,1.4,1.54,1.58,1.88,1.44,3.35,3.14,3.37,3.83,2.47,4.01,4.73,5.12,4.27,4.37
g_0,1.44,1.39,2.15,1.65,1.3,1.44,2.69,2.99,3.46,3.14,3.48,4.83,4.27,3.67,3.9,3.47
e_0,1.65,1.41,1.68,1.64,1.61,1.76,2.69,2.68,3.15,3.47,3.63,3.19,4.74,3.36,4.94,5.55
