,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.09,0.99,0.9,0.87,0.66,0.45,0.34,0.55,0.44,0.44,0.36,0.37,0.29,0.3,0.26
e_1,0.9,1.0,0.73,1.14,0.9,0.75,0.62,0.53,0.45,0.62,0.48,0.41,0.37,0.34,0.34,0.35
f_1,1.02,1.37,1.0,0.94,0.74,0.7,0.45,0.41,0.36,0.39,0.39,0.38,0.29,0.29,0.28,0.29
c_1,1.12,0.88,1.06,1.0,1.29,0.71,0.57,0.51,0.42,0.32,0.29,0.33,0.37,0.39,0.3,0.37
b_1,1.14,1.12,1.35,0.78,1.0,1.18,0.46,0.47,0.5,0.51,0.48,0.44,0.41,0.4,0.28,0.32
a_1,1.52,1.34,1.42,1.41,0.85,1.0,0.71,0.59,0.61,0.61,0.69,0.62,0.57,0.39,0.73,0.44
h_1,2.17,1.59,2.23,1.8,2.08,1.4,1.0,1.17,0.88,0.8,0.77,0.75,0.69,0.79,0.68,0.71
g_1,3.01,1.95,2.4,1.94,2.15,1.68,0.87,1.0,0.88,0.76,0.86,0.98,0.62,0.7,0.78,0.7
c_0,1.79,2.29,2.7,2.5,1.92,1.53,1.13,1.18,1.0,1.16,1.33,0.82,0.93,0.76,0.89,0.73
d_0,2.14,1.61,2.59,3.15,2.12,1.52,1.24,1.39,0.84,1.0,0.83,0.89,0.88,0.79,0.81,0.78
b_0,2.29,2.14,2.61,3.4,1.93,1.43,1.25,1.14,0.73,1.22,1.0,0.85,0.87,0.74,1.42,0.71
f_0,2.78,2.42,2.45,3.07,2.28,1.67,1.38,1.04,1.18,1.2,1.13,1.0,1.02,0.67,0.86,1.17
h_0,2.69,2.86,3.67,2.72,2.39,1.68,1.46,1.59,1.08,1.15,1.16,0.95,1.0,1.1,0.68,0.89
g_0,3.46,3.04,3.36,2.84,2.47,2.58,1.22,1.47,1.27,1.25,1.23,1.48,0.9,1.0,1.07,1.1
a_0,3.19,2.85,3.37,3.34,3.73,1.61,1.39,1.31,1.12,1.27,0.77,1.14,1.49,0.92,1.0,0.98
e_0,3.62,2.83,3.66,2.7,3.03,2.04,1.5,1.36,1.34,1.29,1.37,0.89,1.15,0.89,1.11,1.0
