,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.65,0.89,0.99,0.96,0.9,0.76,0.35,0.41,0.34,0.37,0.35,0.35,0.25,0.31,0.27,0.29
d_1,1.09,0.64,1.03,0.9,0.86,0.82,0.43,0.31,0.38,0.45,0.33,0.34,0.26,0.34,0.23,0.3
e_1,0.73,0.99,0.64,1.13,0.97,0.86,0.44,0.5,0.39,0.42,0.34,0.41,0.31,0.32,0.31,0.37
c_1,0.97,1.22,0.84,0.62,1.18,0.95,0.46,0.45,0.39,0.24,0.3,0.34,0.28,0.3,0.3,0.34
b_1,1.11,1.07,1.09,0.69,0.61,1.13,0.5,0.45,0.44,0.35,0.48,0.39,0.31,0.36,0.29,0.34
a_1,1.3,1.22,1.21,1.11,0.72,0.58,0.56,0.55,0.45,0.43,0.59,0.4,0.36,0.5,0.34,0.38
h_1,1.73,1.44,1.52,1.6,1.47,1.25,0.53,0.66,0.56,0.59,0.49,0.49,0.49,0.47,0.47,0.46
g_1,1.82,1.73,1.47,1.75,1.6,1.37,0.68,0.52,0.61,0.56,0.6,0.64,0.45,0.53,0.51,0.58
c_0,1.9,1.27,1.73,2.39,1.67,1.58,0.81,0.71,0.53,0.81,0.74,0.66,0.5,0.66,0.46,0.64
d_0,1.57,1.95,1.26,2.27,1.96,1.73,0.87,0.9,0.58,0.56,0.6,0.64,0.52,0.57,0.52,0.68
b_0,1.88,1.61,1.82,2.56,2.0,1.47,0.91,0.74,0.45,0.7,0.52,0.62,0.54,0.78,0.53,0.62
f_0,2.09,1.8,1.68,2.05,1.7,1.78,0.92,0.62,0.64,0.7,0.6,0.52,0.53,0.56,0.42,0.75
h_0,2.09,2.06,1.84,2.19,2.04,1.73,1.11,0.87,0.72,0.73,0.72,0.73,0.65,0.6,0.66,0.65
a_0,2.22,1.91,2.12,2.34,2.53,2.14,0.93,0.94,0.61,0.79,0.48,0.77,0.59,0.51,0.56,0.82
g_0,2.26,2.05,2.14,2.03,2.3,1.95,0.85,1.0,0.76,0.82,0.7,0.78,0.47,0.73,0.64,0.69
e_0,2.65,2.2,2.54,2.05,1.89,2.02,1.0,0.82,0.73,0.69,0.76,0.48,0.62,0.68,0.54,0.51
