,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.17,0.41,0.44,0.45,0.4,0.37,0.1,0.16,0.09,0.1,0.09,0.15,0.05,0.08,0.09,0.09
e_1,0.26,0.16,0.52,0.5,0.51,0.52,0.14,0.14,0.09,0.09,0.09,0.13,0.06,0.14,0.09,0.07
d_1,0.51,0.52,0.16,0.48,0.44,0.4,0.13,0.08,0.09,0.14,0.09,0.08,0.06,0.09,0.07,0.04
c_1,0.43,0.34,0.59,0.14,0.48,0.41,0.13,0.14,0.13,0.05,0.09,0.08,0.05,0.1,0.09,0.06
b_1,0.56,0.51,0.43,0.24,0.13,0.41,0.12,0.13,0.14,0.1,0.13,0.09,0.09,0.1,0.1,0.07
a_1,0.47,0.51,0.44,0.43,0.26,0.08,0.14,0.15,0.1,0.12,0.12,0.1,0.07,0.09,0.13,0.08
h_1,0.42,0.39,0.42,0.38,0.39,0.33,0.06,0.12,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.06
g_1,0.41,0.39,0.39,0.38,0.43,0.43,0.1,0.05,0.08,0.09,0.07,0.08,0.04,0.08,0.08,0.06
c_0,0.45,0.48,0.22,0.73,0.38,0.35,0.14,0.12,0.06,0.15,0.09,0.08,0.06,0.08,0.08,0.05
d_0,0.38,0.23,0.66,0.41,0.42,0.45,0.14,0.14,0.08,0.05,0.08,0.09,0.06,0.11,0.11,0.07
b_0,0.4,0.34,0.34,0.55,0.53,0.36,0.13,0.11,0.04,0.09,0.05,0.08,0.06,0.08,0.07,0.05
f_0,0.58,0.35,0.38,0.4,0.37,0.45,0.11,0.07,0.08,0.09,0.07,0.05,0.06,0.11,0.07,0.03
h_0,0.35,0.37,0.41,0.41,0.37,0.37,0.15,0.12,0.07,0.08,0.07,0.08,0.08,0.07,0.06,0.05
e_0,0.61,0.49,0.33,0.46,0.41,0.3,0.13,0.1,0.07,0.08,0.07,0.04,0.06,0.04,0.07,0.04
a_0,0.45,0.37,0.38,0.49,0.44,0.48,0.1,0.1,0.07,0.1,0.04,0.07,0.06,0.07,0.04,0.05
g_0,0.44,0.4,0.4,0.42,0.39,0.38,0.08,0.13,0.08,0.07,0.07,0.07,0.05,0.07,0.06,0.07
