,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.87,0.1,0.06,0.08,0.05,0.06,0.38,0.23,0.48,0.45,0.42,,0.55,0.35,,0.68
e_1,0.07,36.39,0.06,0.08,0.07,0.07,0.22,0.26,0.65,0.36,0.43,0.46,0.63,0.37,,0.27
d_1,0.07,0.05,40.47,0.05,0.06,0.1,0.34,0.28,,0.91,0.3,0.42,0.59,0.31,0.49,0.48
c_1,0.07,0.08,0.05,40.88,0.15,0.1,0.35,0.21,0.45,,0.22,0.38,0.63,,0.35,0.55
b_1,0.09,0.07,0.06,0.06,48.52,0.13,0.25,0.36,0.26,0.38,,0.37,0.66,0.36,0.45,0.53
a_1,0.08,0.07,0.07,0.06,0.06,76.39,0.32,0.32,0.42,0.27,0.3,,0.62,,0.39,0.56
h_1,0.33,0.28,0.27,0.23,0.19,0.18,27.1,1.76,1.48,0.9,1.67,1.49,,1.59,1.94,3.49
g_1,0.21,0.18,0.45,0.26,0.27,0.31,0.88,33.29,1.09,1.58,1.2,1.97,2.92,1.14,1.87,
d_0,0.39,0.45,,0.64,0.32,0.33,1.75,1.35,17.32,1.98,2.08,2.3,1.99,1.52,1.48,3.04
c_0,0.35,0.32,0.46,,0.3,0.28,1.5,1.47,1.42,20.7,4.74,1.83,3.37,1.24,2.34,2.21
b_0,0.33,0.33,0.32,0.33,,0.24,1.8,1.53,1.68,2.05,21.2,2.27,3.33,3.74,2.02,3.59
f_0,,0.22,0.46,0.35,0.41,,1.38,1.4,2.17,2.1,1.9,23.41,3.83,2.4,4.47,2.34
h_0,0.57,0.6,0.54,0.73,0.49,0.49,,2.89,3.79,2.36,2.91,2.96,,2.66,2.45,7.15
a_0,0.25,0.33,0.34,0.34,0.51,,1.61,1.23,1.91,1.68,1.24,2.41,3.46,30.93,2.12,3.4
e_0,0.26,,0.33,0.34,0.52,0.41,1.8,1.27,2.68,,2.04,1.81,3.16,3.24,31.95,3.33
g_0,0.65,0.65,0.96,0.45,0.4,0.46,1.73,,2.28,2.53,3.52,3.2,4.56,4.73,,
