,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.42,0.89,0.74,0.82,0.77,0.7,0.34,0.42,0.4,0.34,0.49,0.39,0.23,0.35,0.32,0.37
e_1,0.55,0.41,0.83,0.88,0.85,0.83,0.49,0.48,0.46,0.38,0.49,0.46,0.33,0.43,0.62,0.35
d_1,0.9,0.9,0.41,0.78,0.78,0.73,0.42,0.34,0.62,0.39,0.32,0.33,0.31,0.31,0.39,0.23
c_1,0.83,0.73,0.91,0.38,0.94,0.85,0.42,0.43,0.22,0.39,0.34,0.31,0.31,0.37,0.35,0.29
b_1,0.91,0.71,0.92,0.52,0.36,0.98,0.5,0.48,0.36,0.42,0.35,0.57,0.38,0.32,0.36,0.3
a_1,0.91,0.93,0.88,0.95,0.46,0.3,0.42,0.43,0.33,0.45,0.41,0.47,0.35,0.56,0.36,0.32
h_1,0.8,0.72,0.75,0.77,0.62,0.62,0.24,0.41,0.36,0.3,0.29,0.32,0.35,0.3,0.27,0.32
g_1,0.75,0.71,0.77,0.73,0.7,0.63,0.33,0.23,0.32,0.35,0.37,0.31,0.2,0.37,0.35,0.3
d_0,0.74,0.47,0.87,0.97,0.69,0.89,0.39,0.45,0.25,0.32,0.34,0.31,0.29,0.35,0.25,0.34
c_0,0.79,0.73,0.46,1.34,0.74,0.7,0.49,0.38,0.45,0.24,0.3,0.42,0.29,0.38,0.37,0.25
f_0,0.97,0.6,0.68,0.74,0.81,0.72,0.46,0.3,0.29,0.34,0.23,0.29,0.3,0.33,0.37,0.2
b_0,0.7,0.64,0.64,1.04,1.1,0.63,0.41,0.39,0.35,0.19,0.4,0.22,0.27,0.45,0.28,0.27
h_0,0.78,0.66,0.64,0.8,0.66,0.6,0.55,0.49,0.35,0.31,0.33,0.3,0.34,0.3,0.26,0.32
a_0,0.67,0.68,0.71,0.78,0.98,1.05,0.42,0.33,0.31,0.26,0.36,0.19,0.27,0.2,0.31,0.27
e_0,0.84,0.83,0.66,0.65,0.71,0.71,0.42,0.34,0.43,0.28,0.2,0.35,0.35,0.32,0.2,0.23
g_0,0.76,0.65,0.78,0.76,0.75,0.65,0.31,0.5,0.33,0.31,0.31,0.29,0.21,0.28,0.34,0.33
