,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.91,0.79,1.16,1.14,0.93,1.04,1.09,1.33,0.96,0.98,1.21,1.1,1.18,1.1,1.1
d_1,1.07,1.0,1.04,0.9,0.94,0.95,0.98,0.85,0.94,1.2,1.06,0.97,0.99,0.95,1.04,0.85
f_1,1.28,0.94,1.0,1.04,0.9,0.82,0.9,1.03,1.04,0.92,0.95,0.92,0.79,0.82,0.98,1.04
c_1,0.87,1.11,0.96,1.0,1.37,0.99,0.96,1.04,0.74,0.87,0.81,0.93,1.04,0.94,0.88,0.89
b_1,0.88,1.05,1.14,0.77,1.0,1.5,1.04,1.01,0.91,1.16,1.05,1.0,1.08,1.04,0.82,1.08
a_1,1.03,1.04,1.23,0.99,0.69,1.0,1.12,1.06,1.02,1.07,1.28,0.93,1.05,0.99,1.15,1.09
h_1,0.98,1.01,1.12,1.03,0.94,0.92,1.0,1.07,0.96,0.91,0.97,1.02,1.02,1.03,0.99,1.13
g_1,0.92,1.16,0.98,0.98,0.96,0.97,0.98,1.0,0.92,0.99,1.0,1.15,0.9,1.03,0.96,0.99
d_0,0.78,1.11,0.93,1.31,1.07,1.05,1.11,1.09,1.0,0.88,0.85,0.98,1.03,1.03,0.96,1.1
c_0,1.05,0.81,1.11,1.13,0.87,0.91,1.11,1.0,1.16,1.0,1.32,1.04,1.13,1.06,1.25,1.04
b_0,0.98,0.89,1.02,1.2,0.95,0.8,1.06,1.0,1.13,0.79,1.0,1.03,1.03,0.98,1.3,1.08
f_0,0.82,1.06,1.08,1.04,0.97,1.04,1.03,0.9,1.04,0.94,1.04,1.0,1.09,1.43,0.94,0.92
h_0,0.93,1.01,1.21,1.0,0.96,0.93,0.98,1.13,0.95,0.89,1.02,0.92,1.0,1.0,0.91,1.01
e_0,0.86,1.05,1.24,1.05,0.99,0.98,1.0,0.97,0.96,0.95,1.05,0.74,1.02,1.0,1.0,0.93
a_0,0.91,0.96,0.99,1.21,1.16,0.86,1.06,1.05,1.07,0.78,0.78,0.98,1.03,0.98,1.0,1.07
g_0,0.92,1.17,1.0,1.09,0.93,0.92,0.91,1.02,0.93,0.95,0.95,1.09,0.97,1.09,0.87,1.01
