,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,37.38,0.08,0.06,0.06,0.06,0.09,0.32,,0.23,0.74,0.42,0.27,0.56,0.45,0.28,0.49
e_1,0.06,38.14,0.05,0.08,0.06,0.07,0.28,0.7,0.29,0.36,0.34,0.39,0.52,0.36,,0.45
f_1,0.06,0.12,39.21,0.07,0.05,0.08,0.35,0.35,0.34,0.39,,0.4,0.44,0.32,0.27,0.49
c_1,0.06,0.08,0.07,41.22,0.12,0.07,0.23,0.36,0.28,,0.4,0.28,0.85,0.27,,0.73
b_1,0.06,0.05,0.07,0.08,51.12,0.13,0.35,0.36,0.27,0.32,0.34,,0.54,0.29,0.46,0.64
a_1,0.07,0.06,0.04,0.05,0.08,69.4,0.27,0.49,0.28,0.39,0.45,0.35,0.55,,0.39,0.55
h_1,0.3,0.18,0.43,0.27,0.27,0.19,29.15,1.2,1.64,1.46,1.12,1.14,,1.69,1.66,2.58
d_0,,0.44,0.33,0.75,0.53,0.51,1.11,16.22,1.08,1.71,1.71,1.59,2.88,1.79,2.14,2.64
g_1,0.33,0.2,0.19,0.22,0.25,0.23,0.73,1.36,35.7,1.73,2.63,1.95,2.3,1.11,1.54,
c_0,0.32,0.31,0.4,,0.24,0.25,1.91,2.0,1.08,18.58,1.73,3.96,3.13,1.41,1.75,4.16
f_0,0.32,0.23,,0.47,0.5,0.29,1.58,1.85,2.0,1.39,19.71,2.1,2.88,1.96,3.8,3.22
b_0,0.3,0.31,0.33,0.31,,0.25,1.6,2.28,1.67,1.47,1.86,21.42,3.67,4.46,1.69,2.41
h_0,0.8,0.46,0.87,0.48,0.49,0.4,,3.4,2.41,2.16,2.81,3.38,,2.52,2.91,5.3
a_0,0.26,0.5,0.35,0.25,0.22,,1.96,2.0,,2.11,2.55,1.31,2.68,28.95,3.77,2.59
e_0,0.43,,0.42,0.26,0.34,,1.35,2.78,1.65,1.97,1.8,1.58,4.18,,29.84,3.02
g_0,0.86,0.38,0.46,0.37,0.43,0.53,2.3,2.28,,3.73,4.84,3.18,5.19,3.1,2.67,
