,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,1.08,1.08,1.4,3.36,16.88,28.47,30.25,30.25,33.09,44.41,55.03,72.21,87.62,111.63
e_1,0.83,1.0,1.32,1.09,1.59,3.62,18.44,29.79,37.98,31.45,39.58,44.78,64.4,86.5,98.37,112.33
c_1,0.91,0.76,1.0,1.16,1.83,2.78,17.45,25.25,18.76,25.77,30.1,34.85,58.09,78.7,76.63,97.3
d_1,0.9,0.89,0.86,1.0,1.33,3.03,16.04,19.36,25.53,35.99,28.96,40.14,53.69,70.42,71.47,84.24
b_1,0.69,0.65,0.56,0.77,1.0,3.7,13.72,18.65,16.61,22.96,22.53,31.73,40.53,55.4,53.08,68.88
a_1,0.29,0.28,0.35,0.34,0.28,1.0,5.54,8.43,8.33,8.79,10.38,15.21,19.58,24.88,25.32,30.47
h_1,0.06,0.05,0.06,0.06,0.07,0.17,1.0,1.64,1.45,1.69,1.85,2.49,3.35,4.31,4.37,6.24
g_1,0.04,0.03,0.04,0.05,0.05,0.11,0.6,1.0,0.9,1.19,1.51,1.56,1.91,3.09,2.94,3.71
d_0,0.03,0.03,0.05,0.04,0.06,0.12,0.66,1.1,1.0,0.96,1.26,1.5,2.31,2.87,3.02,3.56
c_0,0.03,0.03,0.04,0.03,0.04,0.12,0.57,0.84,0.99,1.0,1.06,1.83,2.12,2.85,3.08,3.38
f_0,0.03,0.03,0.03,0.04,0.04,0.09,0.55,0.65,0.76,0.93,1.0,1.34,1.92,3.01,2.39,2.55
b_0,0.02,0.02,0.03,0.02,0.03,0.07,0.41,0.67,0.65,0.55,0.71,1.0,1.47,1.76,2.58,2.2
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.3,0.52,0.45,0.47,0.53,0.69,1.0,1.32,1.34,1.77
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.23,0.31,0.33,0.36,0.34,0.6,0.8,1.0,1.01,1.04
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.35,0.31,0.35,0.39,0.39,0.72,0.98,1.0,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.26,0.28,0.3,0.38,0.46,0.55,0.87,0.85,1.0
