,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.89,1.34,1.14,1.59,1.23,1.31,4.87,4.73,6.33,11.64,7.01,6.89,9.39,6.46,3.57,10.35
f_1,2.3,5.99,1.32,1.26,1.03,1.07,4.19,3.75,5.93,5.06,6.2,2.72,8.64,5.44,4.4,7.09
d_1,1.25,1.52,6.08,0.93,1.03,1.14,5.93,5.44,11.08,2.43,7.2,7.41,8.92,6.97,6.9,9.37
c_1,1.27,1.25,0.92,6.68,2.83,0.84,3.82,4.42,2.13,6.41,4.92,5.94,8.5,6.45,6.5,8.06
b_1,1.04,1.42,1.21,1.34,7.91,2.93,3.96,4.34,5.2,4.94,2.3,4.93,7.54,5.1,6.32,7.42
a_1,1.22,1.12,1.57,1.58,1.02,12.15,5.4,4.09,5.61,6.62,5.06,6.12,12.8,2.44,6.43,10.94
h_1,1.51,2.2,1.75,1.59,1.48,1.37,15.19,7.09,6.93,5.73,7.34,5.86,5.91,8.65,7.43,17.0
g_1,1.16,1.23,2.93,1.21,1.39,1.47,6.04,18.76,7.49,5.1,5.84,12.14,11.77,7.79,8.36,6.37
c_0,1.7,1.77,1.91,0.9,1.11,1.64,5.88,5.81,14.76,7.09,13.52,8.33,12.71,9.84,8.99,12.56
d_0,1.5,1.51,0.62,3.29,1.74,1.39,5.45,5.3,5.72,15.37,6.72,7.94,10.26,9.13,9.28,11.75
b_0,1.73,1.8,1.67,1.47,0.71,1.18,6.06,5.42,7.01,8.55,16.19,8.72,14.02,19.1,10.77,11.75
f_0,1.09,1.1,1.89,1.98,1.36,1.49,6.2,6.82,7.96,9.08,8.72,18.36,14.21,10.34,19.5,10.1
h_0,1.44,2.52,1.75,1.38,1.29,1.4,3.37,7.06,7.69,7.94,6.03,8.06,7.8,9.0,8.33,17.04
a_0,1.72,1.43,2.11,1.55,1.5,0.84,5.74,5.51,8.3,6.0,6.93,6.41,12.83,22.04,6.76,11.97
e_0,0.84,1.58,1.73,1.98,1.69,1.38,5.97,6.56,6.95,7.86,9.35,9.0,12.72,10.3,24.8,12.83
g_0,1.58,1.57,2.49,1.45,1.51,1.52,6.53,3.46,7.44,6.52,8.26,12.15,10.42,9.5,8.13,7.34
