,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.76,0.68,0.79,0.48,0.53,0.52,0.87,1.77,0.95,0.91,1.03,0.94,0.94,1.13,1.02,0.46
f_1,1.06,2.9,0.57,0.58,0.54,0.6,0.81,0.73,0.62,0.9,0.33,0.85,0.83,0.75,0.77,0.69
c_1,0.58,0.56,3.09,0.62,1.08,0.55,0.78,0.89,0.79,0.29,0.98,0.71,1.05,0.87,0.97,0.96
d_1,0.54,0.75,0.47,3.22,0.55,0.52,0.98,0.44,0.97,1.79,0.97,1.17,1.12,0.84,1.19,0.96
b_1,0.57,0.54,0.56,0.6,3.43,1.35,0.88,0.72,0.94,0.78,1.04,0.45,1.02,0.79,0.78,0.89
a_1,0.52,0.61,0.65,0.8,0.65,4.6,0.83,0.82,0.95,0.85,1.09,1.0,0.92,0.39,0.87,1.29
h_1,0.61,0.97,0.8,0.87,0.66,0.67,2.91,0.98,1.48,1.05,1.12,1.08,0.59,1.25,1.39,1.23
d_0,0.8,0.72,1.61,0.29,0.75,0.55,1.09,2.16,0.92,0.73,1.04,1.08,1.17,1.25,1.1,1.3
g_1,0.65,0.69,0.78,1.17,0.61,0.68,1.15,1.01,3.58,1.0,1.64,0.98,1.17,1.16,0.58,0.92
c_0,0.84,0.81,0.41,0.9,0.64,0.56,1.32,1.15,1.2,2.49,1.31,2.35,1.2,1.32,1.33,1.31
f_0,0.68,0.53,0.86,0.87,0.79,0.58,1.38,1.13,1.23,1.17,2.52,1.35,1.28,1.3,1.36,2.68
b_0,0.79,0.91,0.72,0.72,0.42,0.44,1.37,1.4,1.12,1.26,1.2,3.11,1.26,2.76,1.15,1.36
h_0,0.69,1.11,0.64,0.86,0.75,0.64,0.79,0.99,1.45,1.23,0.98,1.21,0.71,1.21,1.66,1.22
a_0,0.87,0.85,0.89,0.71,0.7,0.34,1.2,1.3,0.87,1.02,1.21,1.45,1.18,3.8,1.27,1.44
g_0,0.72,0.65,0.67,1.28,0.79,0.57,1.17,1.06,0.66,1.32,1.87,1.27,1.11,1.22,0.97,1.45
e_0,0.42,0.74,0.88,0.92,0.86,0.5,1.36,1.15,1.27,1.34,1.05,1.27,1.4,1.48,1.34,3.81
