,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.68,1.27,2.03,1.97,2.43,2.27,0.9,0.79,0.74,0.6,0.97,0.87,0.65,0.77,1.38,0.75
f_1,2.24,0.68,2.17,1.9,1.79,1.68,0.64,0.79,0.58,0.68,0.81,1.0,0.48,0.79,0.56,0.65
c_1,1.91,2.04,0.65,3.36,2.22,1.88,0.89,0.44,1.31,0.69,0.89,0.71,0.52,0.66,0.83,0.55
d_1,2.44,2.44,1.75,0.64,2.01,2.08,0.92,1.92,0.8,0.91,0.71,0.76,0.6,0.74,0.69,0.45
b_1,2.04,2.48,1.4,2.34,0.62,2.77,1.22,1.11,0.83,1.96,1.0,1.02,0.91,0.82,0.7,0.55
a_1,2.81,2.97,2.65,2.39,1.49,0.57,1.19,1.37,1.34,1.25,1.15,0.81,0.76,1.84,0.91,0.8
h_1,2.82,3.26,2.64,2.64,2.59,2.25,0.6,0.92,0.86,0.84,1.05,0.91,0.96,0.81,0.89,0.84
d_0,1.9,3.39,3.79,4.09,2.41,2.18,1.56,0.67,1.02,0.97,1.39,0.8,0.95,0.85,1.4,0.91
c_0,3.25,3.66,7.46,1.89,3.06,2.08,1.54,1.18,0.65,1.08,1.07,1.04,0.82,0.93,0.89,0.67
b_0,2.83,4.09,4.56,2.18,4.94,2.46,1.55,1.06,0.88,0.62,1.23,0.96,0.93,1.13,1.01,1.05
g_1,3.36,3.56,3.9,2.87,3.82,2.88,1.19,1.12,1.19,1.14,0.53,1.0,0.77,0.85,0.86,1.79
f_0,2.95,7.42,3.8,2.8,2.93,2.86,1.45,1.56,1.12,1.26,1.12,0.59,0.93,0.98,1.16,0.64
h_0,3.03,4.29,4.16,3.24,3.3,2.51,3.63,1.22,1.25,1.32,1.7,0.99,1.46,1.25,0.99,1.01
a_0,3.11,3.15,4.57,3.52,3.55,4.8,2.33,1.47,1.18,0.78,1.41,1.41,0.98,0.58,1.17,1.05
e_0,5.83,4.6,3.03,3.54,3.44,2.64,1.47,1.33,1.35,1.75,1.79,0.76,1.19,1.23,0.59,1.18
g_0,3.34,4.11,3.65,3.68,4.09,3.68,1.52,1.31,1.52,1.21,,1.36,0.91,1.16,1.28,1.63
