,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,1.0,1.11,0.98,1.77,2.84,16.73,23.84,19.52,24.01,43.36,34.29,85.07,87.32,81.75,96.34
f_1,1.01,1.0,1.03,1.43,1.22,2.58,14.52,23.92,27.97,30.01,36.41,41.22,64.23,59.53,85.97,101.74
d_1,0.9,0.98,1.0,1.08,1.22,2.95,15.88,17.63,25.42,39.13,37.13,47.47,74.21,80.72,78.09,78.49
e_1,1.03,0.7,0.92,1.0,1.24,2.85,15.45,23.62,33.57,28.25,43.01,38.45,75.13,89.27,83.24,106.03
b_1,0.57,0.83,0.83,0.8,1.0,3.61,14.26,17.64,20.12,27.05,31.03,34.06,65.0,60.88,64.68,76.78
a_1,0.35,0.38,0.33,0.34,0.28,1.0,5.24,9.01,9.06,11.29,13.56,16.63,26.65,32.49,32.79,36.12
h_1,0.06,0.07,0.06,0.07,0.07,0.19,1.0,1.46,1.56,1.8,2.42,2.56,4.47,4.34,4.9,7.03
g_1,0.04,0.04,0.06,0.04,0.06,0.11,0.67,1.0,1.13,1.3,2.31,1.79,2.82,3.83,3.6,4.6
d_0,0.05,0.04,0.04,0.03,0.05,0.11,0.63,0.85,1.0,0.89,1.72,1.43,2.79,3.19,3.55,3.93
c_0,0.04,0.03,0.03,0.03,0.04,0.09,0.55,0.77,1.06,1.0,1.33,1.94,2.68,2.95,3.24,3.23
f_0,0.02,0.03,0.03,0.02,0.03,0.07,0.42,0.45,0.62,0.77,1.0,1.17,1.9,2.91,2.49,2.06
b_0,0.03,0.03,0.02,0.02,0.03,0.06,0.39,0.54,0.66,0.52,0.83,1.0,1.96,2.1,2.93,2.27
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.22,0.36,0.35,0.38,0.54,0.51,1.0,1.01,1.22,1.42
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.21,0.25,0.31,0.33,0.37,0.47,1.04,1.0,1.1,1.13
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.28,0.29,0.31,0.39,0.36,0.83,0.88,1.0,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.21,0.26,0.32,0.49,0.43,0.7,0.88,0.91,1.0
