,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.32,0.57,0.61,0.42,0.53,0.4,1.06,0.97,2.27,0.71,1.54,1.25,1.67,1.59,0.97,0.87
e_1,0.49,2.31,0.6,0.68,0.52,0.47,1.09,0.92,1.3,2.18,1.3,1.2,1.37,1.33,0.89,0.48
f_1,0.59,1.06,2.34,0.56,0.41,0.39,1.07,0.77,0.92,1.11,1.1,0.57,1.27,1.05,0.8,0.72
c_1,0.53,0.49,0.59,2.45,1.0,0.38,1.04,0.92,0.47,1.11,0.59,0.84,1.52,1.34,0.91,1.07
b_1,0.6,0.58,0.63,0.54,2.58,0.89,0.84,0.85,0.91,1.06,0.55,1.0,1.45,1.29,0.56,0.88
a_1,0.66,0.63,0.59,0.57,0.51,3.09,0.96,0.89,1.26,1.1,1.14,1.24,1.56,1.1,0.57,0.86
h_1,0.81,0.52,0.93,0.58,0.67,0.49,3.13,1.69,1.56,1.33,1.25,1.3,1.09,2.1,1.2,1.31
g_1,1.29,0.55,0.7,0.59,0.6,0.51,1.08,3.38,1.2,0.87,1.22,1.74,1.52,1.0,1.25,1.25
c_0,0.84,0.75,0.84,0.45,0.44,0.46,1.34,1.27,2.73,1.46,2.85,1.46,2.04,1.73,1.48,1.15
d_0,0.42,0.65,0.81,1.38,0.6,0.45,1.41,1.05,1.0,2.67,1.19,1.36,1.81,1.79,1.15,1.18
b_0,0.81,0.74,0.84,0.76,0.36,0.33,1.37,1.16,1.45,1.74,2.89,1.19,2.1,1.63,2.78,1.13
f_0,0.92,0.69,0.49,0.83,0.59,0.47,1.36,1.19,1.45,1.52,1.48,2.95,2.07,1.65,1.11,2.31
h_0,0.78,0.72,1.09,0.75,0.55,0.39,0.82,1.53,1.31,1.42,1.41,1.07,1.13,2.32,0.97,1.27
g_0,1.06,0.68,0.69,0.64,0.53,0.56,1.16,0.76,1.56,1.37,1.27,2.32,1.66,1.08,1.18,1.25
a_0,0.79,0.64,0.8,0.88,0.71,0.18,1.16,1.33,1.26,1.27,1.32,1.45,2.29,1.84,3.29,1.19
e_0,0.91,0.38,0.86,0.68,0.66,0.5,1.41,1.21,1.45,1.37,1.55,1.39,2.11,1.64,1.19,3.28
