,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.72,0.61,0.57,0.78,0.58,0.54,0.83,0.9,0.81,1.84,1.05,1.08,1.03,0.92,0.52,0.82
f_1,0.98,2.74,0.62,0.62,0.58,0.53,0.84,0.72,0.76,0.78,0.88,0.3,0.91,0.85,0.63,0.8
d_1,0.58,0.72,2.87,0.43,0.62,0.6,1.01,0.98,1.72,0.34,1.1,1.02,0.96,1.02,0.98,1.06
c_1,0.62,0.56,0.61,3.35,1.1,0.55,0.83,0.75,0.23,0.94,0.91,0.91,0.82,0.8,0.91,1.06
b_1,0.61,0.62,0.69,0.51,3.61,1.25,0.84,0.81,0.8,0.76,0.27,0.92,0.56,1.03,0.98,0.91
a_1,0.61,0.66,0.56,0.68,0.56,5.12,0.97,0.91,1.1,0.86,0.9,1.07,0.48,1.07,0.88,1.02
h_1,0.62,1.06,0.78,0.77,0.52,0.7,2.83,1.52,1.18,0.96,1.05,1.2,1.21,0.57,1.25,1.34
g_1,0.73,0.64,1.15,0.8,0.57,0.64,0.97,3.24,1.15,1.15,1.0,1.64,0.96,1.22,1.52,0.75
c_0,0.7,0.88,0.91,0.47,0.68,0.54,1.09,1.26,2.46,1.1,2.11,1.5,1.32,1.32,1.49,1.28
d_0,0.77,0.65,0.35,1.69,0.66,0.54,0.97,1.16,0.77,2.42,1.15,1.25,1.05,1.38,1.16,1.21
b_0,0.74,0.86,0.86,0.82,0.34,0.45,1.38,1.3,1.07,0.94,2.62,1.21,2.88,1.53,1.42,1.43
f_0,0.61,0.48,0.81,0.8,0.73,0.71,1.29,1.11,1.29,1.22,1.56,2.71,1.47,1.52,2.98,1.46
a_0,0.74,0.85,0.89,0.77,0.73,0.36,1.16,1.16,1.25,1.03,1.14,1.4,3.19,1.54,1.36,0.99
h_0,0.63,1.14,0.94,0.77,0.75,0.55,0.7,1.35,1.18,1.16,1.09,0.94,1.34,0.65,1.48,1.5
e_0,0.35,1.12,0.73,0.75,0.73,0.94,1.28,0.93,1.24,0.99,1.18,0.89,1.19,1.47,4.09,1.52
g_0,0.55,0.68,1.17,0.75,0.84,0.54,1.21,0.88,1.28,0.82,1.32,1.91,1.59,1.31,1.02,0.76
