,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.93,1.27,0.78,0.79,0.64,0.59,0.83,0.93,0.84,0.77,0.83,0.65,0.89,0.9,0.81,0.61
e_1,0.73,2.04,0.65,0.9,0.8,0.77,0.95,0.86,1.7,0.9,1.04,1.06,0.87,0.8,0.98,0.75
d_1,0.79,0.64,2.3,0.64,0.7,0.67,1.07,1.0,0.6,1.7,1.27,1.0,1.07,1.13,1.02,1.1
c_1,0.81,0.72,0.66,2.29,1.3,0.79,0.9,0.86,0.83,0.58,0.64,1.02,0.93,1.05,0.87,0.95
b_1,0.79,0.71,0.71,0.74,2.56,1.44,0.93,0.86,0.92,0.78,0.57,0.91,1.13,0.68,1.09,0.96
a_1,0.87,0.7,0.87,0.74,0.79,3.35,0.93,1.0,0.86,1.12,1.04,1.0,1.19,0.61,0.93,0.85
h_1,1.12,0.8,0.96,0.8,0.67,0.61,2.0,1.42,1.04,1.01,1.1,0.93,0.71,1.08,1.35,1.15
g_1,0.78,0.7,1.3,0.8,0.74,0.74,1.05,2.41,0.9,0.99,1.07,1.43,0.94,1.13,0.81,1.09
d_0,0.81,0.77,0.55,1.57,0.77,0.78,1.04,0.81,1.61,0.69,1.15,1.0,1.0,1.04,0.96,1.29
c_0,0.95,0.74,1.05,0.67,0.51,0.68,1.22,1.21,1.01,1.8,2.14,1.07,1.24,1.38,1.31,1.45
b_0,0.93,0.78,1.03,0.87,0.48,0.6,1.21,1.19,1.04,1.15,1.95,1.09,1.16,2.29,1.11,1.42
f_0,0.66,0.64,1.05,0.88,0.85,0.79,1.16,1.16,1.14,1.21,1.26,2.18,1.11,1.25,1.4,2.58
h_0,1.11,0.81,0.93,0.82,0.77,0.74,0.75,1.3,0.87,0.97,1.09,1.01,0.79,1.22,1.49,1.06
a_0,1.05,0.71,0.97,0.87,0.78,0.44,1.24,1.05,0.99,1.05,1.12,1.16,1.22,2.34,1.27,1.56
g_0,0.72,0.68,1.31,0.84,0.75,0.73,0.87,0.73,0.93,1.09,1.19,1.86,1.13,1.1,0.99,1.42
e_0,1.02,0.71,0.86,1.0,0.72,0.69,1.13,1.14,1.07,1.02,1.15,1.06,1.37,1.48,1.3,2.64
