,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.4,1.37,1.39,1.77,1.55,1.5,2.98,3.05,3.42,4.87,3.28,3.44,3.32,4.2,2.67,4.18
f_1,2.17,2.49,1.33,1.58,1.33,1.35,2.51,2.59,2.75,3.13,2.33,3.1,3.18,3.36,2.45,3.59
d_1,1.45,1.54,2.51,1.22,1.46,1.58,3.14,2.69,4.84,2.66,3.36,3.92,3.33,3.75,3.67,3.96
c_1,1.3,1.37,1.6,2.68,2.38,1.45,2.9,2.69,1.93,2.64,3.2,2.29,3.21,3.9,3.38,3.78
b_1,1.34,1.65,1.51,1.36,2.79,2.43,2.82,2.96,3.12,2.85,3.42,2.22,2.54,4.2,2.97,3.76
a_1,1.63,1.59,1.51,1.5,1.11,3.28,3.14,3.13,3.36,3.85,3.5,3.65,2.95,4.71,4.25,4.46
h_1,1.44,1.99,1.5,1.61,1.5,1.5,4.11,3.68,3.12,3.28,3.0,3.66,3.14,3.72,3.47,5.1
g_1,1.42,1.53,2.03,1.66,1.59,1.28,2.41,4.4,3.38,2.99,4.47,3.29,3.05,4.17,3.4,3.93
c_0,1.48,1.83,1.55,1.64,1.29,1.47,3.23,2.98,4.36,3.55,3.51,5.81,4.12,4.74,4.36,4.71
d_0,1.28,1.6,1.35,2.53,1.73,1.1,2.88,3.14,2.65,4.28,3.12,3.24,3.66,4.75,3.99,3.74
f_0,1.32,1.56,1.69,1.71,1.46,1.52,3.2,2.74,3.71,3.77,4.71,3.6,3.65,4.29,6.29,4.24
b_0,1.5,1.78,1.48,1.96,1.28,1.26,2.94,3.09,2.93,3.64,3.7,4.72,5.77,4.58,3.58,4.93
a_0,1.46,1.79,1.66,1.68,1.55,1.17,3.4,3.29,3.21,3.23,3.59,2.8,5.21,4.45,3.14,4.22
h_0,1.48,2.08,1.69,1.43,1.42,1.51,2.47,3.53,3.18,2.99,3.18,3.06,3.3,3.82,2.99,5.31
e_0,1.44,1.94,1.55,1.55,1.72,1.23,3.13,2.9,3.29,3.21,3.13,3.8,4.0,4.21,5.25,4.37
g_0,1.43,1.47,2.13,1.57,1.47,1.45,2.65,2.52,3.17,3.13,4.6,3.61,3.68,3.74,3.72,3.91
