,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.41,0.56,0.91,0.83,0.86,0.85,0.5,0.45,0.48,0.37,0.42,0.37,0.35,0.36,0.33,0.55
f_1,0.87,0.4,0.84,0.68,0.85,0.8,0.35,0.38,0.43,0.36,0.38,0.32,0.23,0.33,0.34,0.32
c_1,0.64,0.84,0.39,0.99,0.98,0.78,0.4,0.22,0.4,0.46,0.34,0.35,0.36,0.36,0.36,0.32
d_1,0.95,0.91,0.76,0.38,0.8,0.65,0.4,0.6,0.32,0.4,0.35,0.42,0.31,0.37,0.23,0.32
b_1,0.84,0.85,0.52,0.86,0.37,0.94,0.48,0.37,0.51,0.4,0.39,0.54,0.31,0.38,0.28,0.33
a_1,0.88,0.84,0.85,0.94,0.46,0.31,0.47,0.45,0.45,0.43,0.44,0.61,0.34,0.56,0.4,0.55
h_1,0.72,0.83,0.78,0.69,0.65,0.69,0.25,0.31,0.4,0.28,0.28,0.29,0.31,0.3,0.28,0.28
d_0,0.44,0.8,0.91,0.98,0.85,0.69,0.45,0.26,0.43,0.29,0.32,0.28,0.3,0.33,0.3,0.33
g_1,0.71,0.79,0.79,0.79,0.66,0.66,0.32,0.36,0.22,0.32,0.34,0.31,0.23,0.35,0.32,0.3
c_0,0.77,0.74,1.16,0.46,0.74,0.7,0.45,0.54,0.41,0.24,0.32,0.37,0.26,0.37,0.27,0.31
f_0,0.67,1.14,0.75,0.7,0.69,0.63,0.41,0.34,0.26,0.3,0.24,0.34,0.3,0.31,0.19,0.43
b_0,0.77,0.77,0.88,0.59,0.88,0.63,0.42,0.36,0.43,0.2,0.29,0.22,0.26,0.37,0.24,0.31
h_0,0.69,0.85,0.61,0.66,0.69,0.69,0.5,0.35,0.42,0.34,0.3,0.33,0.34,0.32,0.3,0.28
a_0,0.68,0.75,0.74,0.72,0.81,0.86,0.38,0.3,0.36,0.3,0.28,0.19,0.27,0.2,0.28,0.28
g_0,0.7,0.71,0.66,0.7,0.8,0.67,0.33,0.35,0.5,0.32,0.35,0.34,0.21,0.34,0.31,0.31
e_0,0.82,0.89,0.79,0.74,0.76,0.56,0.36,0.32,0.41,0.34,0.18,0.31,0.29,0.31,0.23,0.19
