,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,12.56,12.79,9.36,10.99,12.87,2.38,3.05,3.84,4.1,2.13,,1.23,,2.26,2.48
e_1,6.42,0.18,15.61,11.54,16.93,16.54,3.52,2.31,2.27,5.06,2.36,2.82,2.28,,2.65,1.93
c_1,12.48,13.5,0.16,19.08,11.56,19.44,4.44,1.2,,3.2,3.21,1.67,1.97,2.31,2.55,2.0
d_1,14.59,12.75,13.54,0.15,11.93,15.53,3.23,,2.56,1.97,2.98,2.46,2.64,1.79,2.34,0.88
b_1,11.27,18.34,6.46,12.33,0.14,11.42,3.76,3.09,2.66,3.86,,2.51,1.74,2.14,,1.76
a_1,15.32,10.47,14.33,18.86,5.45,0.1,3.94,2.94,2.53,3.49,,3.58,1.64,,,1.76
h_1,2.52,3.52,3.44,4.31,2.76,2.79,0.07,0.75,0.45,1.58,0.57,0.58,,0.95,0.94,0.45
d_0,2.41,1.64,2.39,,2.98,2.28,0.69,0.09,0.55,0.79,0.73,0.47,0.3,0.32,0.45,0.47
c_0,2.63,3.14,,1.49,2.86,2.21,0.87,0.5,0.08,0.52,0.48,0.67,0.25,0.53,0.69,0.3
g_1,3.28,4.58,2.97,3.36,5.24,2.62,0.64,0.82,0.6,0.05,0.79,0.88,0.31,,,
b_0,3.96,2.3,3.35,2.65,,,0.63,0.46,0.34,0.75,0.07,0.53,0.26,,0.41,0.42
f_0,,2.39,2.36,2.37,2.62,2.53,0.56,0.6,0.49,0.44,0.53,0.06,0.6,0.46,,0.2
h_0,1.88,1.65,1.47,1.42,1.53,1.89,,0.31,0.34,0.42,0.28,0.39,,0.38,0.26,0.25
e_0,,,2.1,2.49,1.94,,0.71,0.36,0.69,,,0.18,0.44,0.05,,0.37
a_0,3.02,2.41,2.55,2.34,,,0.71,0.65,0.53,,0.27,,0.29,,0.04,
g_0,1.83,1.56,2.09,1.77,2.84,1.65,0.36,0.41,0.29,,0.31,0.35,0.18,0.28,,
