,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.37,0.66,0.75,0.94,0.69,0.8,1.68,1.45,2.55,1.92,1.81,1.57,1.96,2.18,0.9,1.68
f_1,1.21,2.42,0.67,0.83,0.7,0.75,1.22,1.34,1.65,1.46,1.68,0.77,1.54,1.78,1.26,1.99
d_1,0.69,0.85,2.53,0.64,0.71,0.68,1.62,1.31,1.03,2.71,1.9,1.69,1.65,2.01,2.02,2.29
c_1,0.69,0.66,0.88,2.58,1.38,0.63,1.58,1.53,1.46,0.71,1.22,1.45,1.78,1.62,1.71,1.99
b_1,0.84,0.87,0.8,0.59,2.74,1.2,1.47,1.84,1.6,1.12,0.75,1.8,1.32,2.47,1.58,2.42
a_1,0.7,0.75,0.76,0.79,0.72,3.33,1.58,1.73,1.53,1.84,1.9,1.71,1.44,2.53,1.69,2.28
h_1,0.83,1.49,1.05,0.92,0.92,0.83,3.91,2.31,2.11,2.1,2.09,2.41,2.02,1.57,2.49,3.36
g_1,1.01,0.79,1.47,1.1,0.82,0.78,1.98,4.18,2.15,1.9,2.05,3.53,2.33,2.85,2.18,1.68
d_0,0.92,1.04,0.69,1.7,1.03,1.04,1.88,1.88,3.61,2.11,2.2,2.28,2.42,3.09,2.31,2.74
c_0,0.97,1.16,0.93,0.75,1.07,1.05,1.9,2.05,2.45,3.77,3.83,2.84,2.42,3.32,2.61,2.79
b_0,1.08,1.1,0.97,1.14,0.71,0.8,2.04,2.06,2.44,2.0,3.97,2.81,4.35,3.17,2.54,2.44
f_0,0.89,0.54,1.11,1.17,0.86,1.4,1.73,1.48,2.9,2.54,2.0,4.34,2.43,3.33,4.28,2.5
a_0,0.99,1.2,1.0,0.9,1.28,,1.99,1.75,2.03,2.59,2.11,2.79,4.26,3.12,2.86,3.06
h_0,0.93,1.42,1.08,1.18,0.79,0.94,1.05,1.7,1.81,1.94,2.1,2.03,2.16,1.43,2.56,3.22
e_0,0.76,1.21,0.99,1.19,0.95,1.25,2.18,2.13,2.35,2.16,2.3,2.15,1.97,2.63,4.79,2.52
g_0,0.89,1.16,1.5,1.06,0.77,0.63,1.71,1.2,2.02,2.34,2.34,3.42,2.06,2.81,2.5,1.77
