,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.86,0.66,0.73,0.5,0.49,0.6,0.98,1.78,1.07,0.87,1.09,1.04,0.87,1.08,0.58,0.93
f_1,1.05,2.96,0.58,0.69,0.48,0.48,0.74,0.77,0.82,0.83,0.89,0.41,1.01,1.08,0.57,0.98
c_1,0.53,0.52,3.01,0.6,1.19,0.5,0.8,0.86,0.26,0.77,0.61,0.98,0.97,0.96,0.92,1.02
d_1,0.68,0.58,0.53,3.04,0.72,0.53,0.83,0.36,1.59,0.99,1.12,0.99,0.97,0.77,0.91,0.87
b_1,0.52,0.74,0.58,0.59,3.49,1.18,0.87,0.76,1.03,0.84,0.28,0.83,0.89,0.74,0.8,0.87
a_1,0.6,0.71,0.61,0.72,0.44,4.59,1.16,1.0,0.75,0.8,1.03,1.05,1.0,0.36,1.28,0.93
h_1,0.67,1.04,0.7,0.81,0.66,0.6,3.01,0.99,1.1,1.57,1.07,1.16,0.71,0.97,1.45,1.56
d_0,0.72,0.75,1.42,0.38,0.68,0.79,1.04,2.29,0.89,1.04,1.27,1.34,1.32,1.04,1.29,1.28
c_0,0.78,0.93,0.49,0.77,0.42,0.79,1.16,1.16,2.27,1.05,2.37,1.07,1.43,1.4,1.55,1.29
g_1,0.69,0.54,0.78,1.28,0.56,0.7,0.98,1.01,1.09,3.67,1.16,1.74,1.11,0.94,1.14,0.54
b_0,0.76,0.84,0.9,0.82,0.35,0.57,1.1,1.22,1.34,1.1,2.91,1.1,1.35,2.65,1.35,1.27
f_0,0.62,0.46,0.95,0.78,0.87,0.71,1.19,1.24,1.09,1.15,1.27,2.7,1.23,1.17,2.52,1.12
h_0,0.65,1.13,0.88,0.79,0.72,0.73,0.63,1.1,0.98,1.36,1.33,0.98,0.78,1.18,1.27,1.5
a_0,0.73,0.77,0.85,0.88,0.74,0.42,1.3,1.24,1.01,1.35,1.18,1.1,1.69,3.46,1.14,1.31
e_0,0.26,0.95,0.84,0.8,0.84,0.74,1.47,1.03,1.28,1.1,1.28,1.18,1.28,1.32,3.64,1.38
g_0,0.62,0.66,0.79,1.21,0.83,0.65,1.26,0.8,1.13,0.86,1.25,1.85,0.93,1.34,1.62,0.86
