,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.78,0.93,0.89,0.62,0.44,0.42,0.44,0.54,0.47,0.38,0.31,0.28,0.25,0.31
e_1,0.75,1.0,0.97,1.05,0.92,0.92,0.51,0.45,0.63,0.52,0.45,0.46,0.38,0.36,0.37,0.33
d_1,1.26,1.04,1.0,0.89,0.89,0.73,0.55,0.6,0.43,0.35,0.47,0.45,0.4,0.38,0.39,0.29
c_1,1.08,0.94,1.12,1.0,1.37,0.7,0.49,0.4,0.32,0.43,0.37,0.43,0.36,0.32,0.35,0.26
b_1,1.12,1.1,1.13,0.73,1.0,1.29,0.57,0.52,0.5,0.54,0.48,0.37,0.32,0.43,0.34,0.42
a_1,1.6,1.09,1.38,1.45,0.78,1.0,0.74,0.58,0.61,0.6,0.55,0.48,0.41,0.46,0.51,0.42
h_1,2.41,1.94,1.81,2.0,1.85,1.35,1.0,0.89,0.95,1.0,0.88,0.77,0.69,0.72,0.63,0.71
c_0,2.23,2.37,1.66,2.44,1.89,1.75,1.14,1.0,1.08,1.09,1.37,0.86,0.89,0.73,0.72,0.7
d_0,2.28,1.57,2.53,3.06,2.11,1.7,1.02,0.88,1.0,1.06,0.96,0.95,0.7,0.74,0.78,0.71
g_1,1.95,1.85,2.83,2.25,1.94,1.53,1.01,0.88,0.94,1.0,0.88,1.12,0.84,0.73,0.72,0.76
b_0,2.13,2.23,2.05,2.73,2.03,1.71,1.12,0.77,1.1,1.15,1.0,0.99,1.23,0.82,0.7,0.76
f_0,2.76,2.17,2.3,2.32,2.69,2.05,1.31,1.14,1.05,0.85,0.95,1.0,0.91,0.88,1.25,0.62
a_0,3.27,2.74,2.55,2.63,2.83,2.55,1.47,1.15,1.54,1.13,0.85,1.08,1.0,1.09,0.93,1.01
h_0,3.66,2.78,2.68,3.06,2.32,2.32,1.37,1.3,1.41,1.36,1.3,1.07,0.92,1.0,0.93,1.05
e_0,4.21,2.84,2.49,2.97,2.67,2.2,1.57,1.4,1.32,1.38,1.45,0.78,1.2,1.09,1.0,1.03
g_0,3.31,3.0,3.54,3.66,2.37,2.26,1.41,1.4,1.43,1.25,1.22,1.46,1.0,0.92,0.98,1.0
