,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.44,1.26,1.29,1.04,1.24,1.14,2.32,2.13,4.18,2.14,3.3,2.9,3.65,3.45,2.78,2.51
e_1,1.07,2.45,1.1,1.5,1.24,1.28,2.72,2.55,2.84,4.36,3.07,3.01,3.21,3.38,2.78,2.12
f_1,1.22,1.9,2.49,1.24,1.02,1.14,2.28,2.07,2.13,2.47,2.57,1.98,2.72,2.79,2.41,2.32
c_1,1.22,1.02,1.25,2.59,2.01,1.11,2.49,2.45,1.58,2.17,1.6,2.2,3.37,3.47,2.6,3.16
b_1,1.25,1.22,1.39,1.03,2.75,2.13,2.01,2.22,2.4,2.57,1.9,2.72,3.37,3.4,1.88,2.62
a_1,1.38,1.28,1.28,1.31,1.01,3.31,2.37,2.32,2.84,2.64,2.98,3.22,3.75,2.85,2.78,2.74
h_1,1.45,1.03,1.66,1.22,1.47,1.28,4.11,3.62,3.06,2.7,2.7,2.98,2.82,4.53,3.23,3.39
g_1,2.08,1.12,1.38,1.21,1.31,1.3,2.13,4.48,2.52,2.07,2.66,3.66,2.99,2.84,3.25,3.27
c_0,1.3,1.36,1.63,1.24,1.08,1.21,2.69,2.97,4.05,3.21,5.06,3.2,4.19,3.76,3.82,3.15
d_0,1.0,1.08,1.52,2.33,1.33,1.22,2.89,2.82,2.22,4.02,2.59,3.05,3.7,3.96,3.23,3.29
b_0,1.37,1.34,1.53,1.74,0.99,0.96,2.8,2.71,2.45,3.44,4.29,2.76,4.03,3.6,6.28,3.0
f_0,1.56,1.28,1.13,1.67,1.3,1.19,2.75,2.54,2.97,3.12,3.17,4.52,4.25,3.23,3.0,5.2
h_0,1.38,1.37,1.93,1.42,1.21,1.03,2.12,3.36,2.62,2.87,2.93,2.51,2.89,4.82,2.58,3.29
g_0,1.72,1.3,1.4,1.29,1.19,1.46,2.26,2.18,3.03,2.79,2.71,4.6,3.13,2.97,3.11,3.31
a_0,1.42,1.23,1.51,1.63,1.66,0.66,2.42,2.8,2.47,2.67,2.31,3.16,4.62,3.89,5.19,3.17
e_0,1.64,0.92,1.65,1.28,1.39,1.3,2.75,2.58,2.88,2.8,3.19,2.66,4.03,3.55,3.22,5.23
