,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.88,0.91,0.78,0.62,0.4,0.43,0.43,0.37,0.35,0.4,0.26,0.32,0.27,0.31
e_1,0.79,1.0,0.95,1.01,0.94,0.68,0.5,0.49,0.6,0.42,0.49,0.45,0.36,0.36,0.38,0.32
d_1,1.13,1.05,1.0,0.86,0.8,0.66,0.47,0.39,0.48,0.54,0.37,0.38,0.36,0.31,0.37,0.24
c_1,1.1,0.99,1.15,1.0,1.26,0.73,0.5,0.49,0.31,0.3,0.41,0.32,0.34,0.35,0.36,0.29
b_1,1.27,1.06,1.24,0.8,1.0,1.21,0.65,0.55,0.51,0.47,0.42,0.44,0.45,0.3,0.37,0.32
a_1,1.6,1.5,1.5,1.37,0.83,1.0,0.69,0.64,0.5,0.66,0.59,0.63,0.54,0.43,0.44,0.41
h_1,2.49,1.95,2.17,2.04,1.56,1.4,1.0,1.06,0.92,0.71,0.7,0.76,0.67,0.63,0.59,0.73
g_1,2.28,2.1,2.57,2.09,1.78,1.43,0.97,1.0,0.86,0.93,1.03,0.79,0.57,0.8,0.75,0.57
d_0,2.33,1.71,2.04,3.28,2.01,2.02,1.12,1.2,1.0,0.79,0.97,0.8,0.77,0.82,0.6,0.75
c_0,2.7,2.43,1.87,2.99,1.92,1.61,1.41,1.08,1.21,1.0,0.88,1.42,0.86,0.97,0.89,0.68
f_0,2.66,2.06,2.56,2.48,2.44,1.86,1.43,0.98,0.99,1.12,1.0,0.84,0.91,0.79,1.17,0.65
b_0,2.65,2.22,2.51,3.22,2.43,1.5,1.31,1.2,1.19,0.73,1.2,1.0,0.91,1.38,0.76,0.79
h_0,3.62,2.8,2.81,2.87,2.2,1.84,1.57,1.81,1.28,1.15,1.12,1.13,1.0,0.95,0.79,1.07
a_0,2.92,2.77,3.31,3.02,3.29,2.14,1.57,1.25,1.18,1.03,1.28,0.77,1.05,1.0,1.01,0.95
e_0,3.53,2.73,2.88,2.66,2.69,2.27,1.7,1.23,1.68,1.12,0.89,1.3,1.31,1.03,1.0,0.75
g_0,3.42,3.07,4.24,3.35,3.08,2.27,1.38,1.71,1.36,1.46,1.55,1.26,0.96,1.09,1.25,1.0
